 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-25.txt

 Ion = Manganese    [25] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.665E+03  3.746E+02    1.62 um     5123 A      5006 A   
   9.00 MeV   7.408E+03  3.462E+02    1.74 um     5248 A      5195 A   
  10.00 MeV   8.102E+03  3.223E+02    1.85 um     5349 A      5355 A   
  11.00 MeV   8.744E+03  3.019E+02    1.95 um     5435 A      5494 A   
  12.00 MeV   9.336E+03  2.842E+02    2.05 um     5508 A      5616 A   
  13.00 MeV   9.878E+03  2.686E+02    2.14 um     5571 A      5724 A   
  14.00 MeV   1.038E+04  2.549E+02    2.23 um     5626 A      5822 A   
  15.00 MeV   1.083E+04  2.427E+02    2.32 um     5675 A      5910 A   
  16.00 MeV   1.124E+04  2.317E+02    2.40 um     5719 A      5991 A   
  17.00 MeV   1.163E+04  2.217E+02    2.48 um     5759 A      6066 A   
  18.00 MeV   1.197E+04  2.127E+02    2.56 um     5796 A      6136 A   
  20.00 MeV   1.259E+04  1.969E+02    2.72 um     5862 A      6261 A   
  22.50 MeV   1.324E+04  1.805E+02    2.90 um     5934 A      6399 A   
  25.00 MeV   1.379E+04  1.669E+02    3.08 um     5996 A      6520 A   
  27.50 MeV   1.427E+04  1.553E+02    3.25 um     6049 A      6628 A   
  30.00 MeV   1.468E+04  1.454E+02    3.41 um     6098 A      6727 A   
  32.50 MeV   1.506E+04  1.368E+02    3.57 um     6141 A      6817 A   
  35.00 MeV   1.540E+04  1.292E+02    3.73 um     6180 A      6901 A   
  37.50 MeV   1.572E+04  1.226E+02    3.89 um     6217 A      6979 A   
  40.00 MeV   1.601E+04  1.166E+02    4.04 um     6250 A      7052 A   
  45.00 MeV   1.655E+04  1.064E+02    4.34 um     6317 A      7185 A   
  50.00 MeV   1.702E+04  9.797E+01    4.63 um     6377 A      7306 A   
  55.00 MeV   1.744E+04  9.088E+01    4.92 um     6431 A      7416 A   
  60.00 MeV   1.782E+04  8.484E+01    5.20 um     6480 A      7517 A   
  65.00 MeV   1.816E+04  7.961E+01    5.47 um     6526 A      7611 A   
  70.00 MeV   1.846E+04  7.503E+01    5.74 um     6568 A      7699 A   
  80.00 MeV   1.898E+04  6.741E+01    6.27 um     6665 A      7861 A   
  90.00 MeV   1.939E+04  6.130E+01    6.78 um     6754 A      8007 A   
 100.00 MeV   1.972E+04  5.628E+01    7.29 um     6835 A      8142 A   
 110.00 MeV   1.998E+04  5.207E+01    7.79 um     6912 A      8267 A   
 120.00 MeV   2.018E+04  4.850E+01    8.28 um     6984 A      8385 A   
 130.00 MeV   2.034E+04  4.541E+01    8.77 um     7053 A      8497 A   
 140.00 MeV   2.045E+04  4.273E+01    9.26 um     7119 A      8603 A   
 150.00 MeV   2.055E+04  4.036E+01    9.74 um     7183 A      8705 A   
 160.00 MeV   2.066E+04  3.826E+01   10.23 um     7244 A      8804 A   
 170.00 MeV   2.069E+04  3.639E+01   10.71 um     7305 A      8899 A   
 180.00 MeV   2.067E+04  3.470E+01   11.19 um     7364 A      8992 A   
 200.00 MeV   2.062E+04  3.178E+01   12.15 um     7540 A      9170 A   
 225.00 MeV   2.049E+04  2.880E+01   13.36 um     7792 A      9384 A   
 250.00 MeV   2.030E+04  2.637E+01   14.58 um     8037 A      9590 A   
 275.00 MeV   2.007E+04  2.433E+01   15.82 um     8279 A      9791 A   
 300.00 MeV   1.982E+04  2.261E+01   17.07 um     8517 A      9988 A   
 325.00 MeV   1.955E+04  2.113E+01   18.33 um     8754 A      1.02 um  
 350.00 MeV   1.927E+04  1.984E+01   19.62 um     8991 A      1.04 um  
 375.00 MeV   1.899E+04  1.871E+01   20.92 um     9227 A      1.06 um  
 400.00 MeV   1.870E+04  1.771E+01   22.24 um     9464 A      1.08 um  
 450.00 MeV   1.814E+04  1.602E+01   24.95 um     1.03 um     1.11 um  
 500.00 MeV   1.759E+04  1.464E+01   27.75 um     1.11 um     1.15 um  
 550.00 MeV   1.706E+04  1.349E+01   30.63 um     1.19 um     1.19 um  
 600.00 MeV   1.656E+04  1.252E+01   33.60 um     1.27 um     1.23 um  
 650.00 MeV   1.609E+04  1.168E+01   36.66 um     1.35 um     1.27 um  
 700.00 MeV   1.564E+04  1.096E+01   39.80 um     1.43 um     1.32 um  
 800.00 MeV   1.482E+04  9.763E+00   46.36 um     1.72 um     1.40 um  
 900.00 MeV   1.409E+04  8.815E+00   53.28 um     1.99 um     1.49 um  
   1.00 GeV   1.344E+04  8.044E+00   60.53 um     2.26 um     1.59 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  5.2514E-04                keV/(ug/cm2) 
  5.2514E-04                MeV/(mg/cm2) 
  5.2514E-01                keV/(mg/cm2) 
  2.0754E-01                 eV/(1E15 atoms/cm2)
  2.4184E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
