 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-71-33.txt

 Ion = Arsenic      [33] , Mass = 71 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.226E+02  1.434E+03      53 A        38 A        27 A   
  11.00 keV   1.285E+02  1.474E+03      56 A        40 A        28 A   
  12.00 keV   1.343E+02  1.511E+03      60 A        42 A        30 A   
  13.00 keV   1.397E+02  1.545E+03      63 A        44 A        31 A   
  14.00 keV   1.450E+02  1.576E+03      66 A        46 A        33 A   
  15.00 keV   1.501E+02  1.604E+03      69 A        47 A        34 A   
  16.00 keV   1.550E+02  1.631E+03      72 A        49 A        35 A   
  17.00 keV   1.598E+02  1.655E+03      75 A        51 A        37 A   
  18.00 keV   1.644E+02  1.678E+03      78 A        53 A        38 A   
  20.00 keV   1.733E+02  1.720E+03      84 A        56 A        41 A   
  22.50 keV   1.838E+02  1.765E+03      92 A        60 A        44 A   
  25.00 keV   1.938E+02  1.804E+03      99 A        65 A        47 A   
  27.50 keV   2.032E+02  1.838E+03     106 A        69 A        49 A   
  30.00 keV   2.123E+02  1.868E+03     113 A        72 A        52 A   
  32.50 keV   2.210E+02  1.895E+03     120 A        76 A        55 A   
  35.00 keV   2.293E+02  1.918E+03     127 A        80 A        58 A   
  37.50 keV   2.373E+02  1.939E+03     134 A        84 A        60 A   
  40.00 keV   2.451E+02  1.958E+03     140 A        88 A        63 A   
  45.00 keV   2.600E+02  1.991E+03     154 A        95 A        68 A   
