 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-68-25.txt

 Ion = Manganese    [25] , Mass = 68 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.064E+02  1.198E+03      61 A        43 A        31 A   
  11.00 keV   1.116E+02  1.228E+03      65 A        45 A        33 A   
  12.00 keV   1.166E+02  1.255E+03      69 A        48 A        34 A   
  13.00 keV   1.213E+02  1.279E+03      73 A        50 A        36 A   
  14.00 keV   1.259E+02  1.302E+03      77 A        52 A        38 A   
  15.00 keV   1.303E+02  1.322E+03      81 A        55 A        39 A   
  16.00 keV   1.346E+02  1.341E+03      84 A        57 A        41 A   
  17.00 keV   1.388E+02  1.358E+03      88 A        59 A        43 A   
  18.00 keV   1.428E+02  1.374E+03      92 A        61 A        44 A   
  20.00 keV   1.505E+02  1.403E+03      99 A        65 A        47 A   
  22.50 keV   1.596E+02  1.434E+03     108 A        71 A        51 A   
  25.00 keV   1.683E+02  1.459E+03     117 A        76 A        54 A   
  27.50 keV   1.765E+02  1.482E+03     126 A        81 A        58 A   
  30.00 keV   1.843E+02  1.501E+03     135 A        85 A        61 A   
  32.50 keV   1.919E+02  1.517E+03     143 A        90 A        65 A   
  35.00 keV   1.991E+02  1.531E+03     152 A        95 A        68 A   
  37.50 keV   2.061E+02  1.544E+03     160 A       100 A        72 A   
  40.00 keV   2.128E+02  1.555E+03     169 A       104 A        75 A   
  45.00 keV   2.258E+02  1.572E+03     185 A       113 A        81 A   
