 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-67-34.txt

 Ion = Selenium     [34] , Mass = 67 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.109E+03  4.043E+02    1.60 um     3019 A      3193 A   
   9.00 MeV   7.807E+03  3.725E+02    1.72 um     3096 A      3326 A   
  10.00 MeV   8.451E+03  3.459E+02    1.83 um     3159 A      3440 A   
  11.00 MeV   9.043E+03  3.232E+02    1.94 um     3212 A      3540 A   
  12.00 MeV   9.587E+03  3.036E+02    2.04 um     3258 A      3627 A   
  13.00 MeV   1.009E+04  2.865E+02    2.13 um     3298 A      3705 A   
  14.00 MeV   1.055E+04  2.715E+02    2.22 um     3334 A      3776 A   
  15.00 MeV   1.098E+04  2.580E+02    2.31 um     3365 A      3839 A   
  16.00 MeV   1.137E+04  2.460E+02    2.40 um     3394 A      3898 A   
  17.00 MeV   1.174E+04  2.352E+02    2.48 um     3420 A      3952 A   
  18.00 MeV   1.208E+04  2.254E+02    2.56 um     3444 A      4002 A   
  20.00 MeV   1.271E+04  2.083E+02    2.71 um     3489 A      4092 A   
  22.50 MeV   1.340E+04  1.905E+02    2.90 um     3540 A      4191 A   
  25.00 MeV   1.400E+04  1.758E+02    3.08 um     3584 A      4277 A   
  27.50 MeV   1.454E+04  1.634E+02    3.25 um     3622 A      4353 A   
  30.00 MeV   1.502E+04  1.527E+02    3.41 um     3656 A      4422 A   
  32.50 MeV   1.546E+04  1.435E+02    3.57 um     3687 A      4484 A   
  35.00 MeV   1.586E+04  1.354E+02    3.73 um     3716 A      4542 A   
  37.50 MeV   1.623E+04  1.283E+02    3.88 um     3742 A      4595 A   
  40.00 MeV   1.656E+04  1.220E+02    4.03 um     3766 A      4645 A   
  45.00 MeV   1.716E+04  1.111E+02    4.32 um     3821 A      4734 A   
  50.00 MeV   1.767E+04  1.022E+02    4.61 um     3870 A      4815 A   
  55.00 MeV   1.811E+04  9.467E+01    4.88 um     3914 A      4888 A   
  60.00 MeV   1.850E+04  8.828E+01    5.15 um     3956 A      4954 A   
  65.00 MeV   1.882E+04  8.276E+01    5.42 um     3994 A      5016 A   
  70.00 MeV   1.911E+04  7.794E+01    5.68 um     4030 A      5074 A   
  80.00 MeV   1.956E+04  6.992E+01    6.19 um     4129 A      5179 A   
  90.00 MeV   1.989E+04  6.350E+01    6.70 um     4220 A      5275 A   
 100.00 MeV   2.012E+04  5.824E+01    7.19 um     4305 A      5362 A   
 110.00 MeV   2.028E+04  5.383E+01    7.69 um     4386 A      5444 A   
 120.00 MeV   2.037E+04  5.010E+01    8.18 um     4463 A      5521 A   
 130.00 MeV   2.042E+04  4.688E+01    8.66 um     4538 A      5595 A   
 140.00 MeV   2.059E+04  4.407E+01    9.15 um     4610 A      5665 A   
 150.00 MeV   2.076E+04  4.161E+01    9.63 um     4680 A      5732 A   
 160.00 MeV   2.081E+04  3.942E+01   10.11 um     4747 A      5796 A   
 170.00 MeV   2.085E+04  3.747E+01   10.59 um     4813 A      5858 A   
 180.00 MeV   2.087E+04  3.572E+01   11.07 um     4877 A      5919 A   
 200.00 MeV   2.084E+04  3.269E+01   12.02 um     5093 A      6035 A   
 225.00 MeV   2.072E+04  2.960E+01   13.22 um     5404 A      6175 A   
 250.00 MeV   2.054E+04  2.707E+01   14.43 um     5702 A      6308 A   
 275.00 MeV   2.032E+04  2.496E+01   15.65 um     5990 A      6439 A   
 300.00 MeV   2.007E+04  2.318E+01   16.89 um     6269 A      6566 A   
 325.00 MeV   1.981E+04  2.165E+01   18.14 um     6544 A      6691 A   
 350.00 MeV   1.954E+04  2.032E+01   19.41 um     6813 A      6816 A   
 375.00 MeV   1.927E+04  1.916E+01   20.69 um     7080 A      6939 A   
 400.00 MeV   1.900E+04  1.813E+01   22.00 um     7343 A      7062 A   
 450.00 MeV   1.847E+04  1.638E+01   24.66 um     8303 A      7308 A   
 500.00 MeV   1.795E+04  1.496E+01   27.41 um     9210 A      7555 A   
 550.00 MeV   1.746E+04  1.378E+01   30.23 um     1.01 um     7805 A   
 600.00 MeV   1.699E+04  1.278E+01   33.13 um     1.09 um     8058 A   
 650.00 MeV   1.654E+04  1.192E+01   36.11 um     1.18 um     8315 A   
 700.00 MeV   1.611E+04  1.118E+01   39.17 um     1.26 um     8577 A   
 800.00 MeV   1.532E+04  9.951E+00   45.53 um     1.55 um     9116 A   
 900.00 MeV   1.459E+04  8.979E+00   52.21 um     1.82 um     9676 A   
   1.00 GeV   1.393E+04  8.189E+00   59.23 um     2.08 um     1.03 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  1.7261E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
