 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-61-33.txt

 Ion = Arsenic      [33] , Mass = 61 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.590E+03  3.544E+02    1.56 um     2911 A      3106 A   
   9.00 MeV   8.288E+03  3.263E+02    1.67 um     2978 A      3226 A   
  10.00 MeV   8.926E+03  3.028E+02    1.78 um     3035 A      3328 A   
  11.00 MeV   9.507E+03  2.828E+02    1.88 um     3082 A      3418 A   
  12.00 MeV   1.004E+04  2.656E+02    1.97 um     3123 A      3497 A   
  13.00 MeV   1.053E+04  2.505E+02    2.07 um     3159 A      3567 A   
  14.00 MeV   1.097E+04  2.373E+02    2.16 um     3191 A      3631 A   
  15.00 MeV   1.139E+04  2.255E+02    2.24 um     3219 A      3689 A   
  16.00 MeV   1.177E+04  2.149E+02    2.32 um     3245 A      3743 A   
  17.00 MeV   1.212E+04  2.054E+02    2.40 um     3269 A      3792 A   
  18.00 MeV   1.246E+04  1.968E+02    2.48 um     3291 A      3838 A   
  20.00 MeV   1.306E+04  1.818E+02    2.63 um     3332 A      3921 A   
  22.50 MeV   1.372E+04  1.662E+02    2.81 um     3379 A      4012 A   
  25.00 MeV   1.430E+04  1.533E+02    2.99 um     3420 A      4091 A   
  27.50 MeV   1.481E+04  1.424E+02    3.16 um     3456 A      4162 A   
  30.00 MeV   1.527E+04  1.331E+02    3.32 um     3489 A      4227 A   
  32.50 MeV   1.568E+04  1.250E+02    3.48 um     3518 A      4285 A   
  35.00 MeV   1.606E+04  1.180E+02    3.63 um     3545 A      4339 A   
  37.50 MeV   1.640E+04  1.117E+02    3.78 um     3570 A      4389 A   
  40.00 MeV   1.671E+04  1.062E+02    3.93 um     3593 A      4436 A   
  45.00 MeV   1.725E+04  9.670E+01    4.22 um     3646 A      4521 A   
  50.00 MeV   1.771E+04  8.889E+01    4.51 um     3695 A      4598 A   
  55.00 MeV   1.809E+04  8.234E+01    4.78 um     3739 A      4667 A   
  60.00 MeV   1.842E+04  7.677E+01    5.05 um     3781 A      4732 A   
  65.00 MeV   1.869E+04  7.195E+01    5.32 um     3819 A      4791 A   
  70.00 MeV   1.892E+04  6.775E+01    5.58 um     3856 A      4848 A   
  80.00 MeV   1.927E+04  6.076E+01    6.10 um     3958 A      4951 A   
  90.00 MeV   1.950E+04  5.516E+01    6.62 um     4053 A      5045 A   
 100.00 MeV   1.964E+04  5.058E+01    7.12 um     4143 A      5132 A   
