 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-75-35.txt

 Ion = Bromine      [35] , Mass = 75 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.812E+03  6.518E+02    1.29 um     4598 A      4314 A   
   9.00 MeV   7.609E+03  6.051E+02    1.39 um     4756 A      4528 A   
  10.00 MeV   8.368E+03  5.654E+02    1.49 um     4887 A      4712 A   
  11.00 MeV   9.085E+03  5.313E+02    1.59 um     4998 A      4873 A   
  12.00 MeV   9.761E+03  5.015E+02    1.68 um     5093 A      5015 A   
  13.00 MeV   1.039E+04  4.753E+02    1.76 um     5176 A      5142 A   
  14.00 MeV   1.099E+04  4.520E+02    1.84 um     5249 A      5257 A   
  15.00 MeV   1.154E+04  4.312E+02    1.92 um     5314 A      5361 A   
  16.00 MeV   1.206E+04  4.124E+02    2.00 um     5372 A      5457 A   
  17.00 MeV   1.254E+04  3.954E+02    2.07 um     5425 A      5545 A   
  18.00 MeV   1.300E+04  3.800E+02    2.14 um     5473 A      5627 A   
  20.00 MeV   1.383E+04  3.527E+02    2.27 um     5559 A      5774 A   
  22.50 MeV   1.476E+04  3.243E+02    2.43 um     5650 A      5935 A   
  25.00 MeV   1.558E+04  3.005E+02    2.59 um     5727 A      6075 A   
  27.50 MeV   1.632E+04  2.804E+02    2.73 um     5794 A      6200 A   
  30.00 MeV   1.701E+04  2.630E+02    2.88 um     5853 A      6312 A   
  32.50 MeV   1.764E+04  2.479E+02    3.01 um     5905 A      6414 A   
  35.00 MeV   1.824E+04  2.346E+02    3.15 um     5952 A      6507 A   
  37.50 MeV   1.881E+04  2.227E+02    3.27 um     5994 A      6593 A   
  40.00 MeV   1.935E+04  2.122E+02    3.40 um     6033 A      6673 A   
  45.00 MeV   2.037E+04  1.940E+02    3.64 um     6105 A      6817 A   
  50.00 MeV   2.130E+04  1.790E+02    3.87 um     6168 A      6943 A   
  55.00 MeV   2.217E+04  1.664E+02    4.10 um     6222 A      7057 A   
  60.00 MeV   2.297E+04  1.555E+02    4.31 um     6271 A      7159 A   
  65.00 MeV   2.371E+04  1.461E+02    4.52 um     6314 A      7253 A   
  70.00 MeV   2.440E+04  1.379E+02    4.73 um     6354 A      7339 A   
  80.00 MeV   2.562E+04  1.242E+02    5.12 um     6434 A      7492 A   
  90.00 MeV   2.668E+04  1.131E+02    5.50 um     6504 A      7627 A   
 100.00 MeV   2.758E+04  1.040E+02    5.86 um     6566 A      7747 A   
 110.00 MeV   2.836E+04  9.635E+01    6.21 um     6622 A      7856 A   
 120.00 MeV   2.902E+04  8.983E+01    6.56 um     6673 A      7956 A   
 130.00 MeV   2.959E+04  8.421E+01    6.89 um     6720 A      8049 A   
 140.00 MeV   3.008E+04  7.930E+01    7.23 um     6764 A      8135 A   
 150.00 MeV   3.050E+04  7.498E+01    7.55 um     6806 A      8216 A   
 160.00 MeV   3.096E+04  7.113E+01    7.88 um     6845 A      8292 A   
 170.00 MeV   3.129E+04  6.770E+01    8.19 um     6882 A      8365 A   
 180.00 MeV   3.150E+04  6.460E+01    8.51 um     6918 A      8435 A   
 200.00 MeV   3.188E+04  5.924E+01    9.14 um     7014 A      8566 A   
 225.00 MeV   3.216E+04  5.375E+01    9.91 um     7143 A      8717 A   
 250.00 MeV   3.229E+04  4.926E+01   10.69 um     7267 A      8859 A   
 275.00 MeV   3.230E+04  4.550E+01   11.46 um     7386 A      8992 A   
 300.00 MeV   3.222E+04  4.232E+01   12.23 um     7502 A      9120 A   
 325.00 MeV   3.207E+04  3.958E+01   13.00 um     7616 A      9243 A   
 350.00 MeV   3.187E+04  3.719E+01   13.78 um     7728 A      9363 A   
 375.00 MeV   3.163E+04  3.509E+01   14.57 um     7839 A      9480 A   
 400.00 MeV   3.136E+04  3.324E+01   15.36 um     7950 A      9595 A   
 450.00 MeV   3.077E+04  3.009E+01   16.96 um     8326 A      9819 A   
 500.00 MeV   3.014E+04  2.752E+01   18.60 um     8698 A      1.00 um  
 550.00 MeV   2.948E+04  2.538E+01   20.27 um     9068 A      1.03 um  
 600.00 MeV   2.883E+04  2.357E+01   21.99 um     9439 A      1.05 um  
 650.00 MeV   2.819E+04  2.201E+01   23.74 um     9811 A      1.07 um  
 700.00 MeV   2.756E+04  2.066E+01   25.53 um     1.02 um     1.09 um  
 800.00 MeV   2.637E+04  1.842E+01   29.23 um     1.15 um     1.14 um  
 900.00 MeV   2.526E+04  1.665E+01   33.10 um     1.29 um     1.18 um  
   1.00 GeV   2.425E+04  1.520E+01   37.14 um     1.42 um     1.23 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  5.2514E-04                keV/(ug/cm2) 
  5.2514E-04                MeV/(mg/cm2) 
  5.2514E-01                keV/(mg/cm2) 
  2.0754E-01                 eV/(1E15 atoms/cm2)
  1.7722E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
