 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-75-26.txt

 Ion = Iron         [26] , Mass = 75 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.087E+02  1.281E+03      60 A        41 A        29 A   
  11.00 keV   1.140E+02  1.314E+03      64 A        43 A        31 A   
  12.00 keV   1.190E+02  1.344E+03      68 A        45 A        33 A   
  13.00 keV   1.239E+02  1.371E+03      72 A        48 A        34 A   
  14.00 keV   1.286E+02  1.396E+03      76 A        50 A        36 A   
  15.00 keV   1.331E+02  1.419E+03      79 A        52 A        37 A   
  16.00 keV   1.375E+02  1.440E+03      83 A        54 A        39 A   
  17.00 keV   1.417E+02  1.460E+03      86 A        56 A        40 A   
  18.00 keV   1.458E+02  1.478E+03      90 A        58 A        42 A   
  20.00 keV   1.537E+02  1.510E+03      97 A        62 A        45 A   
  22.50 keV   1.630E+02  1.545E+03     106 A        67 A        48 A   
  25.00 keV   1.718E+02  1.574E+03     114 A        71 A        51 A   
  27.50 keV   1.802E+02  1.600E+03     123 A        76 A        55 A   
  30.00 keV   1.882E+02  1.622E+03     131 A        80 A        58 A   
  32.50 keV   1.959E+02  1.641E+03     139 A        85 A        61 A   
  35.00 keV   2.033E+02  1.658E+03     148 A        89 A        64 A   
  37.50 keV   2.104E+02  1.673E+03     156 A        93 A        67 A   
  40.00 keV   2.173E+02  1.686E+03     164 A        98 A        70 A   
  45.00 keV   2.305E+02  1.707E+03     180 A       106 A        76 A   
