 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-60-34.txt

 Ion = Selenium     [34] , Mass = 60 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.315E+02  1.348E+03      51 A        39 A        28 A   
  11.00 keV   1.379E+02  1.386E+03      55 A        41 A        30 A   
  12.00 keV   1.441E+02  1.420E+03      58 A        43 A        32 A   
  13.00 keV   1.499E+02  1.451E+03      61 A        45 A        33 A   
  14.00 keV   1.556E+02  1.480E+03      64 A        47 A        34 A   
  15.00 keV   1.611E+02  1.506E+03      67 A        49 A        36 A   
  16.00 keV   1.664E+02  1.530E+03      70 A        51 A        37 A   
  17.00 keV   1.715E+02  1.553E+03      73 A        53 A        38 A   
  18.00 keV   1.764E+02  1.574E+03      76 A        55 A        40 A   
  20.00 keV   1.860E+02  1.613E+03      82 A        59 A        42 A   
  22.50 keV   1.973E+02  1.654E+03      90 A        63 A        46 A   
  25.00 keV   2.079E+02  1.690E+03      97 A        68 A        49 A   
  27.50 keV   2.181E+02  1.721E+03     104 A        72 A        52 A   
  30.00 keV   2.278E+02  1.749E+03     111 A        76 A        55 A   
  32.50 keV   2.371E+02  1.773E+03     117 A        80 A        58 A   
  35.00 keV   2.460E+02  1.795E+03     124 A        84 A        61 A   
  37.50 keV   2.547E+02  1.814E+03     131 A        88 A        63 A   
  40.00 keV   2.630E+02  1.831E+03     138 A        92 A        66 A   
  45.00 keV   2.790E+02  1.860E+03     151 A       100 A        72 A   
