 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-69-27.txt

 Ion = Cobalt       [27] , Mass = 69 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.093E+03  3.981E+02    1.56 um     5305 A      5117 A   
   9.00 MeV   7.977E+03  3.682E+02    1.67 um     5427 A      5300 A   
  10.00 MeV   8.799E+03  3.430E+02    1.78 um     5526 A      5454 A   
  11.00 MeV   9.554E+03  3.214E+02    1.87 um     5608 A      5585 A   
  12.00 MeV   1.024E+04  3.027E+02    1.96 um     5677 A      5699 A   
  13.00 MeV   1.087E+04  2.863E+02    2.04 um     5736 A      5800 A   
  14.00 MeV   1.144E+04  2.717E+02    2.13 um     5788 A      5891 A   
  15.00 MeV   1.195E+04  2.588E+02    2.20 um     5834 A      5973 A   
  16.00 MeV   1.241E+04  2.471E+02    2.28 um     5875 A      6047 A   
  17.00 MeV   1.284E+04  2.366E+02    2.35 um     5912 A      6116 A   
  18.00 MeV   1.322E+04  2.271E+02    2.42 um     5946 A      6180 A   
  20.00 MeV   1.389E+04  2.103E+02    2.56 um     6007 A      6295 A   
  22.50 MeV   1.459E+04  1.929E+02    2.73 um     6073 A      6421 A   
  25.00 MeV   1.518E+04  1.784E+02    2.89 um     6129 A      6531 A   
  27.50 MeV   1.569E+04  1.661E+02    3.04 um     6179 A      6630 A   
  30.00 MeV   1.614E+04  1.555E+02    3.19 um     6222 A      6720 A   
  32.50 MeV   1.655E+04  1.464E+02    3.34 um     6262 A      6802 A   
  35.00 MeV   1.692E+04  1.383E+02    3.48 um     6298 A      6878 A   
  37.50 MeV   1.727E+04  1.312E+02    3.63 um     6330 A      6949 A   
  40.00 MeV   1.760E+04  1.249E+02    3.77 um     6361 A      7015 A   
  45.00 MeV   1.819E+04  1.140E+02    4.04 um     6421 A      7137 A   
  50.00 MeV   1.873E+04  1.050E+02    4.30 um     6474 A      7246 A   
  55.00 MeV   1.922E+04  9.742E+01    4.56 um     6521 A      7345 A   
  60.00 MeV   1.966E+04  9.096E+01    4.81 um     6565 A      7437 A   
