 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-26.txt

 Ion = Iron         [26] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.376E+03  3.944E+02    1.65 um     5409 A      5252 A   
   9.00 MeV   7.166E+03  3.646E+02    1.77 um     5546 A      5457 A   
  10.00 MeV   7.918E+03  3.396E+02    1.88 um     5658 A      5630 A   
  11.00 MeV   8.626E+03  3.181E+02    1.99 um     5750 A      5778 A   
  12.00 MeV   9.288E+03  2.996E+02    2.09 um     5828 A      5907 A   
  13.00 MeV   9.904E+03  2.833E+02    2.18 um     5895 A      6021 A   
  14.00 MeV   1.047E+04  2.688E+02    2.27 um     5953 A      6122 A   
  15.00 MeV   1.100E+04  2.560E+02    2.35 um     6005 A      6213 A   
  16.00 MeV   1.148E+04  2.444E+02    2.44 um     6050 A      6297 A   
  17.00 MeV   1.193E+04  2.340E+02    2.51 um     6091 A      6373 A   
  18.00 MeV   1.234E+04  2.245E+02    2.59 um     6128 A      6443 A   
  20.00 MeV   1.307E+04  2.079E+02    2.74 um     6195 A      6569 A   
  22.50 MeV   1.384E+04  1.906E+02    2.91 um     6266 A      6705 A   
  25.00 MeV   1.449E+04  1.762E+02    3.08 um     6326 A      6824 A   
  27.50 MeV   1.505E+04  1.641E+02    3.24 um     6378 A      6930 A   
  30.00 MeV   1.554E+04  1.537E+02    3.40 um     6424 A      7025 A   
  32.50 MeV   1.597E+04  1.446E+02    3.55 um     6465 A      7112 A   
  35.00 MeV   1.636E+04  1.366E+02    3.70 um     6503 A      7191 A   
  37.50 MeV   1.671E+04  1.296E+02    3.85 um     6537 A      7265 A   
  40.00 MeV   1.703E+04  1.233E+02    3.99 um     6568 A      7334 A   
  45.00 MeV   1.761E+04  1.125E+02    4.27 um     6630 A      7460 A   
  50.00 MeV   1.811E+04  1.036E+02    4.55 um     6685 A      7573 A   
  55.00 MeV   1.854E+04  9.616E+01    4.81 um     6734 A      7676 A   
  60.00 MeV   1.893E+04  8.977E+01    5.08 um     6779 A      7771 A   
  65.00 MeV   1.927E+04  8.425E+01    5.33 um     6821 A      7858 A   
  70.00 MeV   1.957E+04  7.942E+01    5.59 um     6859 A      7940 A   
  80.00 MeV   2.007E+04  7.137E+01    6.09 um     6947 A      8091 A   
  90.00 MeV   2.047E+04  6.491E+01    6.57 um     7026 A      8227 A   
 100.00 MeV   2.078E+04  5.960E+01    7.05 um     7100 A      8352 A   
 110.00 MeV   2.102E+04  5.515E+01    7.53 um     7168 A      8468 A   
 120.00 MeV   2.121E+04  5.137E+01    8.00 um     7233 A      8578 A   
 130.00 MeV   2.135E+04  4.811E+01    8.46 um     7296 A      8682 A   
 140.00 MeV   2.145E+04  4.527E+01    8.93 um     7355 A      8781 A   
 150.00 MeV   2.156E+04  4.277E+01    9.39 um     7413 A      8876 A   
 160.00 MeV   2.165E+04  4.055E+01    9.85 um     7469 A      8968 A   
 170.00 MeV   2.167E+04  3.856E+01   10.31 um     7524 A      9057 A   
 180.00 MeV   2.164E+04  3.678E+01   10.77 um     7577 A      9143 A   
 200.00 MeV   2.159E+04  3.369E+01   11.69 um     7736 A      9310 A   
 225.00 MeV   2.146E+04  3.053E+01   12.84 um     7963 A      9510 A   
 250.00 MeV   2.127E+04  2.795E+01   14.01 um     8185 A      9702 A   
 275.00 MeV   2.105E+04  2.580E+01   15.19 um     8403 A      9890 A   
 300.00 MeV   2.080E+04  2.397E+01   16.38 um     8619 A      1.01 um  
 325.00 MeV   2.053E+04  2.241E+01   17.58 um     8834 A      1.03 um  
 350.00 MeV   2.025E+04  2.104E+01   18.81 um     9048 A      1.04 um  
 375.00 MeV   1.997E+04  1.985E+01   20.05 um     9263 A      1.06 um  
 400.00 MeV   1.969E+04  1.879E+01   21.30 um     9478 A      1.08 um  
 450.00 MeV   1.913E+04  1.699E+01   23.87 um     1.02 um     1.12 um  
 500.00 MeV   1.858E+04  1.553E+01   26.52 um     1.10 um     1.15 um  
 550.00 MeV   1.805E+04  1.431E+01   29.25 um     1.17 um     1.19 um  
 600.00 MeV   1.754E+04  1.328E+01   32.05 um     1.25 um     1.23 um  
 650.00 MeV   1.706E+04  1.240E+01   34.94 um     1.32 um     1.26 um  
 700.00 MeV   1.660E+04  1.163E+01   37.90 um     1.39 um     1.30 um  
 800.00 MeV   1.575E+04  1.036E+01   44.08 um     1.66 um     1.38 um  
 900.00 MeV   1.499E+04  9.356E+00   50.58 um     1.91 um     1.47 um  
   1.00 GeV   1.431E+04  8.538E+00   57.40 um     2.15 um     1.55 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
