 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-61-30.txt

 Ion = Zinc         [30] , Mass = 61 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   8.447E+03  4.212E+02    1.26 um     4226 A      4064 A   
   9.00 MeV   9.312E+03  3.900E+02    1.36 um     4330 A      4216 A   
  10.00 MeV   1.010E+04  3.636E+02    1.44 um     4416 A      4346 A   
  11.00 MeV   1.082E+04  3.410E+02    1.53 um     4488 A      4461 A   
  12.00 MeV   1.146E+04  3.213E+02    1.61 um     4551 A      4562 A   
  13.00 MeV   1.205E+04  3.041E+02    1.68 um     4606 A      4653 A   
  14.00 MeV   1.258E+04  2.888E+02    1.76 um     4654 A      4736 A   
  15.00 MeV   1.306E+04  2.752E+02    1.83 um     4698 A      4812 A   
  16.00 MeV   1.350E+04  2.629E+02    1.90 um     4738 A      4882 A   
  17.00 MeV   1.390E+04  2.518E+02    1.97 um     4774 A      4947 A   
  18.00 MeV   1.427E+04  2.417E+02    2.03 um     4807 A      5008 A   
  20.00 MeV   1.494E+04  2.240E+02    2.16 um     4868 A      5119 A   
  22.50 MeV   1.566E+04  2.056E+02    2.31 um     4934 A      5242 A   
  25.00 MeV   1.630E+04  1.902E+02    2.46 um     4991 A      5351 A   
  27.50 MeV   1.687E+04  1.772E+02    2.61 um     5042 A      5449 A   
  30.00 MeV   1.740E+04  1.661E+02    2.75 um     5086 A      5539 A   
  32.50 MeV   1.788E+04  1.563E+02    2.88 um     5127 A      5621 A   
  35.00 MeV   1.834E+04  1.478E+02    3.02 um     5164 A      5698 A   
  37.50 MeV   1.877E+04  1.402E+02    3.15 um     5198 A      5769 A   
  40.00 MeV   1.918E+04  1.335E+02    3.27 um     5229 A      5835 A   
  45.00 MeV   1.993E+04  1.219E+02    3.52 um     5290 A      5957 A   
  50.00 MeV   2.060E+04  1.124E+02    3.76 um     5344 A      6067 A   
  55.00 MeV   2.121E+04  1.043E+02    4.00 um     5393 A      6167 A   
  60.00 MeV   2.175E+04  9.742E+01    4.23 um     5437 A      6258 A   
  65.00 MeV   2.224E+04  9.146E+01    4.45 um     5477 A      6343 A   
  70.00 MeV   2.269E+04  8.625E+01    4.67 um     5515 A      6423 A   
  80.00 MeV   2.344E+04  7.755E+01    5.10 um     5598 A      6567 A   
  90.00 MeV   2.405E+04  7.057E+01    5.51 um     5673 A      6698 A   
 100.00 MeV   2.454E+04  6.483E+01    5.92 um     5742 A      6817 A   
 110.00 MeV   2.493E+04  6.002E+01    6.32 um     5805 A      6928 A   
 120.00 MeV   2.523E+04  5.592E+01    6.72 um     5865 A      7031 A   
 130.00 MeV   2.556E+04  5.239E+01    7.11 um     5922 A      7129 A   
 140.00 MeV   2.577E+04  4.931E+01    7.49 um     5975 A      7222 A   
 150.00 MeV   2.586E+04  4.660E+01    7.88 um     6027 A      7310 A   
 160.00 MeV   2.595E+04  4.419E+01    8.26 um     6077 A      7396 A   
 170.00 MeV   2.601E+04  4.204E+01    8.64 um     6126 A      7478 A   
 180.00 MeV   2.603E+04  4.010E+01    9.03 um     6174 A      7558 A   
 200.00 MeV   2.600E+04  3.674E+01    9.79 um     6313 A      7712 A   
 225.00 MeV   2.586E+04  3.331E+01   10.75 um     6509 A      7895 A   
 250.00 MeV   2.564E+04  3.051E+01   11.72 um     6700 A      8072 A   
 275.00 MeV   2.537E+04  2.817E+01   12.69 um     6887 A      8243 A   
 300.00 MeV   2.505E+04  2.618E+01   13.68 um     7073 A      8411 A   
 325.00 MeV   2.472E+04  2.447E+01   14.68 um     7257 A      8576 A   
 350.00 MeV   2.437E+04  2.299E+01   15.70 um     7441 A      8739 A   
 375.00 MeV   2.401E+04  2.169E+01   16.73 um     7624 A      8902 A   
 400.00 MeV   2.365E+04  2.053E+01   17.78 um     7808 A      9064 A   
 450.00 MeV   2.294E+04  1.858E+01   19.92 um     8454 A      9389 A   
 500.00 MeV   2.224E+04  1.698E+01   22.13 um     9088 A      9716 A   
 550.00 MeV   2.157E+04  1.565E+01   24.41 um     9717 A      1.00 um  
 600.00 MeV   2.094E+04  1.453E+01   26.75 um     1.03 um     1.04 um  
 650.00 MeV   2.034E+04  1.356E+01   29.17 um     1.10 um     1.07 um  
 700.00 MeV   1.978E+04  1.273E+01   31.66 um     1.16 um     1.11 um  
 800.00 MeV   1.875E+04  1.134E+01   36.85 um     1.38 um     1.18 um  
 900.00 MeV   1.783E+04  1.025E+01   42.31 um     1.60 um     1.26 um  
   1.00 GeV   1.701E+04  9.352E+00   48.04 um     1.80 um     1.34 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  5.2514E-04                keV/(ug/cm2) 
  5.2514E-04                MeV/(mg/cm2) 
  5.2514E-01                keV/(mg/cm2) 
  2.0754E-01                 eV/(1E15 atoms/cm2)
  2.3873E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
