 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-69-30.txt

 Ion = Zinc         [30] , Mass = 69 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.691E+03  3.369E+02    1.72 um     3022 A      3255 A   
   9.00 MeV   7.317E+03  3.100E+02    1.85 um     3097 A      3388 A   
  10.00 MeV   7.894E+03  2.876E+02    1.97 um     3159 A      3501 A   
  11.00 MeV   8.426E+03  2.685E+02    2.08 um     3212 A      3600 A   
  12.00 MeV   8.916E+03  2.521E+02    2.19 um     3257 A      3687 A   
  13.00 MeV   9.368E+03  2.377E+02    2.30 um     3296 A      3765 A   
  14.00 MeV   9.785E+03  2.251E+02    2.39 um     3331 A      3836 A   
  15.00 MeV   1.017E+04  2.138E+02    2.49 um     3363 A      3900 A   
  16.00 MeV   1.053E+04  2.038E+02    2.58 um     3391 A      3958 A   
  17.00 MeV   1.086E+04  1.947E+02    2.67 um     3417 A      4013 A   
  18.00 MeV   1.117E+04  1.865E+02    2.76 um     3440 A      4063 A   
  20.00 MeV   1.174E+04  1.722E+02    2.93 um     3486 A      4153 A   
  22.50 MeV   1.236E+04  1.574E+02    3.13 um     3538 A      4252 A   
  25.00 MeV   1.289E+04  1.451E+02    3.32 um     3582 A      4339 A   
  27.50 MeV   1.336E+04  1.348E+02    3.51 um     3622 A      4416 A   
  30.00 MeV   1.379E+04  1.259E+02    3.69 um     3657 A      4485 A   
  32.50 MeV   1.416E+04  1.183E+02    3.87 um     3689 A      4549 A   
  35.00 MeV   1.450E+04  1.116E+02    4.04 um     3719 A      4607 A   
  37.50 MeV   1.481E+04  1.057E+02    4.20 um     3746 A      4661 A   
  40.00 MeV   1.509E+04  1.004E+02    4.37 um     3771 A      4712 A   
  45.00 MeV   1.557E+04  9.141E+01    4.69 um     3831 A      4804 A   
  50.00 MeV   1.598E+04  8.401E+01    5.00 um     3885 A      4886 A   
  55.00 MeV   1.632E+04  7.781E+01    5.31 um     3934 A      4961 A   
  60.00 MeV   1.661E+04  7.253E+01    5.61 um     3980 A      5030 A   
  65.00 MeV   1.685E+04  6.797E+01    5.91 um     4023 A      5095 A   
  70.00 MeV   1.705E+04  6.399E+01    6.20 um     4064 A      5155 A   
  80.00 MeV   1.735E+04  5.737E+01    6.78 um     4181 A      5266 A   
  90.00 MeV   1.755E+04  5.208E+01    7.35 um     4289 A      5367 A   
 100.00 MeV   1.767E+04  4.774E+01    7.91 um     4391 A      5461 A   
 110.00 MeV   1.774E+04  4.412E+01    8.47 um     4489 A      5550 A   
 120.00 MeV   1.775E+04  4.104E+01    9.03 um     4583 A      5634 A   
 130.00 MeV   1.773E+04  3.839E+01    9.60 um     4675 A      5714 A   
 140.00 MeV   1.773E+04  3.609E+01   10.16 um     4765 A      5791 A   
 150.00 MeV   1.785E+04  3.406E+01   10.72 um     4851 A      5866 A   
 160.00 MeV   1.788E+04  3.226E+01   11.28 um     4936 A      5938 A   
 170.00 MeV   1.786E+04  3.066E+01   11.83 um     5018 A      6008 A   
 180.00 MeV   1.783E+04  2.922E+01   12.39 um     5099 A      6076 A   
 200.00 MeV   1.774E+04  2.673E+01   13.51 um     5375 A      6209 A   
 225.00 MeV   1.756E+04  2.419E+01   14.93 um     5775 A      6368 A   
 250.00 MeV   1.734E+04  2.212E+01   16.36 um     6156 A      6524 A   
 275.00 MeV   1.710E+04  2.040E+01   17.80 um     6523 A      6675 A   
 300.00 MeV   1.685E+04  1.894E+01   19.27 um     6881 A      6825 A   
 325.00 MeV   1.659E+04  1.768E+01   20.77 um     7230 A      6974 A   
 350.00 MeV   1.633E+04  1.659E+01   22.28 um     7574 A      7122 A   
 375.00 MeV   1.607E+04  1.564E+01   23.82 um     7912 A      7269 A   
 400.00 MeV   1.582E+04  1.479E+01   25.39 um     8247 A      7417 A   
 450.00 MeV   1.533E+04  1.337E+01   28.60 um     9466 A      7714 A   
 500.00 MeV   1.487E+04  1.220E+01   31.91 um     1.06 um     8014 A   
 550.00 MeV   1.443E+04  1.124E+01   35.32 um     1.17 um     8319 A   
 600.00 MeV   1.402E+04  1.042E+01   38.83 um     1.28 um     8630 A   
 650.00 MeV   1.363E+04  9.718E+00   42.44 um     1.38 um     8946 A   
 700.00 MeV   1.326E+04  9.111E+00   46.16 um     1.48 um     9268 A   
 800.00 MeV   1.258E+04  8.109E+00   53.89 um     1.85 um     9933 A   
 900.00 MeV   1.197E+04  7.315E+00   62.04 um     2.19 um     1.06 um  
   1.00 GeV   1.142E+04  6.670E+00   70.59 um     2.51 um     1.13 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  1.8869E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
