 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-67-27.txt

 Ion = Cobalt       [27] , Mass = 67 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.431E+03  2.753E+02    2.00 um     3610 A      3930 A   
   9.00 MeV   7.115E+03  2.530E+02    2.14 um     3681 A      4064 A   
  10.00 MeV   7.743E+03  2.345E+02    2.26 um     3738 A      4175 A   
  11.00 MeV   8.316E+03  2.187E+02    2.38 um     3786 A      4271 A   
  12.00 MeV   8.837E+03  2.052E+02    2.49 um     3826 A      4354 A   
  13.00 MeV   9.311E+03  1.934E+02    2.60 um     3861 A      4428 A   
  14.00 MeV   9.743E+03  1.830E+02    2.70 um     3892 A      4494 A   
  15.00 MeV   1.014E+04  1.737E+02    2.79 um     3919 A      4553 A   
  16.00 MeV   1.050E+04  1.655E+02    2.89 um     3943 A      4607 A   
  17.00 MeV   1.083E+04  1.581E+02    2.98 um     3966 A      4657 A   
  18.00 MeV   1.113E+04  1.513E+02    3.07 um     3986 A      4703 A   
  20.00 MeV   1.167E+04  1.396E+02    3.24 um     4025 A      4785 A   
  22.50 MeV   1.223E+04  1.275E+02    3.44 um     4070 A      4874 A   
  25.00 MeV   1.271E+04  1.175E+02    3.64 um     4108 A      4952 A   
  27.50 MeV   1.312E+04  1.091E+02    3.82 um     4142 A      5021 A   
  30.00 MeV   1.348E+04  1.019E+02    4.01 um     4173 A      5084 A   
  32.50 MeV   1.379E+04  9.563E+01    4.19 um     4201 A      5141 A   
  35.00 MeV   1.406E+04  9.017E+01    4.37 um     4227 A      5193 A   
  37.50 MeV   1.430E+04  8.536E+01    4.54 um     4251 A      5242 A   
  40.00 MeV   1.452E+04  8.107E+01    4.71 um     4273 A      5287 A   
  45.00 MeV   1.489E+04  7.377E+01    5.05 um     4328 A      5370 A   
  50.00 MeV   1.519E+04  6.776E+01    5.38 um     4377 A      5445 A   
  55.00 MeV   1.543E+04  6.273E+01    5.70 um     4423 A      5514 A   
  60.00 MeV   1.563E+04  5.845E+01    6.02 um     4467 A      5577 A   
  65.00 MeV   1.578E+04  5.475E+01    6.34 um     4508 A      5636 A   
  70.00 MeV   1.591E+04  5.153E+01    6.65 um     4547 A      5692 A   
  80.00 MeV   1.608E+04  4.617E+01    7.27 um     4663 A      5796 A   
  90.00 MeV   1.617E+04  4.189E+01    7.89 um     4773 A      5891 A   
 100.00 MeV   1.620E+04  3.839E+01    8.50 um     4878 A      5981 A   
 110.00 MeV   1.618E+04  3.546E+01    9.12 um     4979 A      6065 A   
