 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-69-27.txt

 Ion = Cobalt       [27] , Mass = 69 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.000E+02  1.262E+03      59 A        42 A        30 A   
  11.00 keV   1.049E+02  1.295E+03      63 A        44 A        32 A   
  12.00 keV   1.096E+02  1.324E+03      67 A        46 A        33 A   
  13.00 keV   1.140E+02  1.351E+03      70 A        48 A        35 A   
  14.00 keV   1.183E+02  1.376E+03      74 A        51 A        36 A   
  15.00 keV   1.225E+02  1.398E+03      78 A        53 A        38 A   
  16.00 keV   1.265E+02  1.419E+03      81 A        55 A        40 A   
  17.00 keV   1.304E+02  1.438E+03      85 A        57 A        41 A   
  18.00 keV   1.342E+02  1.456E+03      88 A        59 A        43 A   
  20.00 keV   1.414E+02  1.488E+03      95 A        63 A        45 A   
  22.50 keV   1.500E+02  1.523E+03     104 A        68 A        49 A   
  25.00 keV   1.581E+02  1.552E+03     112 A        73 A        52 A   
  27.50 keV   1.659E+02  1.577E+03     120 A        78 A        56 A   
  30.00 keV   1.732E+02  1.599E+03     129 A        82 A        59 A   
  32.50 keV   1.803E+02  1.618E+03     137 A        87 A        62 A   
  35.00 keV   1.871E+02  1.635E+03     145 A        91 A        66 A   
  37.50 keV   1.937E+02  1.649E+03     153 A        96 A        69 A   
  40.00 keV   2.000E+02  1.662E+03     161 A       100 A        72 A   
  45.00 keV   2.122E+02  1.684E+03     177 A       109 A        78 A   
