 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-65-31.txt

 Ion = Gallium      [31] , Mass = 65 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 65 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.301E+02  1.330E+03      54 A        39 A        28 A   
  11.00 keV   1.364E+02  1.366E+03      58 A        42 A        30 A   
  12.00 keV   1.425E+02  1.399E+03      61 A        44 A        31 A   
  13.00 keV   1.483E+02  1.429E+03      64 A        46 A        33 A   
  14.00 keV   1.539E+02  1.456E+03      68 A        48 A        34 A   
  15.00 keV   1.593E+02  1.481E+03      71 A        50 A        36 A   
  16.00 keV   1.646E+02  1.505E+03      74 A        52 A        37 A   
  17.00 keV   1.696E+02  1.526E+03      77 A        54 A        39 A   
  18.00 keV   1.745E+02  1.546E+03      81 A        56 A        40 A   
  20.00 keV   1.840E+02  1.583E+03      87 A        59 A        43 A   
  22.50 keV   1.951E+02  1.622E+03      95 A        64 A        46 A   
  25.00 keV   2.057E+02  1.656E+03     102 A        68 A        49 A   
  27.50 keV   2.157E+02  1.685E+03     109 A        73 A        52 A   
  30.00 keV   2.253E+02  1.711E+03     117 A        77 A        55 A   
  32.50 keV   2.345E+02  1.733E+03     124 A        81 A        58 A   
  35.00 keV   2.434E+02  1.753E+03     131 A        85 A        61 A   
  37.50 keV   2.519E+02  1.771E+03     138 A        89 A        64 A   
  40.00 keV   2.602E+02  1.787E+03     145 A        93 A        67 A   
  45.00 keV   2.760E+02  1.813E+03     160 A       101 A        73 A   
