 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-66-29.txt

 Ion = Copper       [29] , Mass = 66 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 66 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.660E+01  9.813E+02      42 A        49 A        38 A   
  11.00 keV   5.936E+01  1.013E+03      45 A        52 A        40 A   
  12.00 keV   6.200E+01  1.042E+03      48 A        54 A        42 A   
  13.00 keV   6.453E+01  1.069E+03      50 A        57 A        44 A   
  14.00 keV   6.697E+01  1.093E+03      53 A        59 A        46 A   
  15.00 keV   6.932E+01  1.117E+03      55 A        62 A        48 A   
  16.00 keV   7.159E+01  1.138E+03      58 A        64 A        49 A   
  17.00 keV   7.380E+01  1.158E+03      60 A        67 A        51 A   
  18.00 keV   7.594E+01  1.177E+03      63 A        69 A        53 A   
  20.00 keV   8.004E+01  1.212E+03      67 A        73 A        57 A   
  22.50 keV   8.490E+01  1.251E+03      73 A        79 A        61 A   
  25.00 keV   8.949E+01  1.285E+03      79 A        84 A        65 A   
  27.50 keV   9.386E+01  1.315E+03      85 A        90 A        69 A   
  30.00 keV   9.803E+01  1.343E+03      90 A        95 A        73 A   
  32.50 keV   1.020E+02  1.367E+03      96 A       100 A        77 A   
  35.00 keV   1.059E+02  1.389E+03     101 A       105 A        81 A   
  37.50 keV   1.096E+02  1.410E+03     106 A       110 A        85 A   
  40.00 keV   1.132E+02  1.428E+03     112 A       114 A        89 A   
  45.00 keV   1.201E+02  1.461E+03     122 A       124 A        96 A   
