 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-71-28.txt

 Ion = Nickel       [28] , Mass = 71 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   4.288E+03  3.078E+02    2.62 um     4979 A      5320 A   
   9.00 MeV   4.991E+03  2.831E+02    2.81 um     5114 A      5568 A   
  10.00 MeV   5.684E+03  2.625E+02    2.98 um     5217 A      5769 A   
  11.00 MeV   6.356E+03  2.450E+02    3.13 um     5298 A      5934 A   
  12.00 MeV   6.997E+03  2.299E+02    3.27 um     5364 A      6073 A   
  13.00 MeV   7.603E+03  2.167E+02    3.39 um     5419 A      6191 A   
  14.00 MeV   8.172E+03  2.051E+02    3.51 um     5465 A      6293 A   
  15.00 MeV   8.705E+03  1.948E+02    3.62 um     5504 A      6382 A   
  16.00 MeV   9.201E+03  1.856E+02    3.73 um     5539 A      6462 A   
  17.00 MeV   9.662E+03  1.773E+02    3.83 um     5569 A      6532 A   
  18.00 MeV   1.009E+04  1.698E+02    3.93 um     5596 A      6596 A   
  20.00 MeV   1.086E+04  1.567E+02    4.11 um     5644 A      6708 A   
  22.50 MeV   1.167E+04  1.432E+02    4.33 um     5695 A      6823 A   
  25.00 MeV   1.234E+04  1.320E+02    4.53 um     5738 A      6921 A   
  27.50 MeV   1.290E+04  1.225E+02    4.72 um     5774 A      7005 A   
  30.00 MeV   1.338E+04  1.145E+02    4.91 um     5806 A      7078 A   
  32.50 MeV   1.378E+04  1.075E+02    5.09 um     5834 A      7144 A   
  35.00 MeV   1.413E+04  1.014E+02    5.27 um     5860 A      7203 A   
  37.50 MeV   1.442E+04  9.599E+01    5.44 um     5883 A      7257 A   
  40.00 MeV   1.467E+04  9.119E+01    5.61 um     5904 A      7307 A   
  45.00 MeV   1.508E+04  8.300E+01    5.94 um     5952 A      7397 A   
  50.00 MeV   1.540E+04  7.626E+01    6.26 um     5995 A      7476 A   
  55.00 MeV   1.563E+04  7.061E+01    6.58 um     6035 A      7547 A   
  60.00 MeV   1.582E+04  6.580E+01    6.90 um     6072 A      7612 A   
  65.00 MeV   1.596E+04  6.166E+01    7.21 um     6107 A      7672 A   
  70.00 MeV   1.607E+04  5.804E+01    7.52 um     6140 A      7728 A   
  80.00 MeV   1.621E+04  5.202E+01    8.13 um     6232 A      7831 A   
  90.00 MeV   1.628E+04  4.721E+01    8.74 um     6320 A      7924 A   
 100.00 MeV   1.630E+04  4.327E+01    9.35 um     6404 A      8011 A   
 110.00 MeV   1.628E+04  3.998E+01    9.97 um     6486 A      8092 A   
 120.00 MeV   1.623E+04  3.718E+01   10.58 um     6566 A      8169 A   
 130.00 MeV   1.617E+04  3.478E+01   11.19 um     6645 A      8242 A   
 140.00 MeV   1.609E+04  3.269E+01   11.81 um     6723 A      8313 A   
 150.00 MeV   1.615E+04  3.085E+01   12.43 um     6799 A      8382 A   
 160.00 MeV   1.618E+04  2.922E+01   13.04 um     6873 A      8448 A   
 170.00 MeV   1.614E+04  2.776E+01   13.66 um     6947 A      8512 A   
 180.00 MeV   1.610E+04  2.646E+01   14.28 um     7019 A      8575 A   
 200.00 MeV   1.600E+04  2.420E+01   15.52 um     7269 A      8697 A   
 225.00 MeV   1.584E+04  2.190E+01   17.09 um     7637 A      8845 A   
 250.00 MeV   1.565E+04  2.002E+01   18.67 um     7995 A      8988 A   
 275.00 MeV   1.544E+04  1.846E+01   20.28 um     8346 A      9129 A   
 300.00 MeV   1.522E+04  1.713E+01   21.91 um     8691 A      9268 A   
 325.00 MeV   1.499E+04  1.600E+01   23.56 um     9032 A      9406 A   
 350.00 MeV   1.476E+04  1.501E+01   25.24 um     9370 A      9544 A   
 375.00 MeV   1.454E+04  1.414E+01   26.94 um     9706 A      9682 A   
 400.00 MeV   1.432E+04  1.338E+01   28.67 um     1.00 um     9821 A   
 450.00 MeV   1.388E+04  1.209E+01   32.21 um     1.13 um     1.01 um  
 500.00 MeV   1.347E+04  1.103E+01   35.86 um     1.25 um     1.04 um  
 550.00 MeV   1.307E+04  1.016E+01   39.63 um     1.36 um     1.07 um  
 600.00 MeV   1.269E+04  9.417E+00   43.51 um     1.47 um     1.10 um  
 650.00 MeV   1.233E+04  8.783E+00   47.50 um     1.58 um     1.13 um  
 700.00 MeV   1.199E+04  8.234E+00   51.61 um     1.69 um     1.16 um  
 800.00 MeV   1.136E+04  7.328E+00   60.17 um     2.09 um     1.22 um  
 900.00 MeV   1.079E+04  6.610E+00   69.20 um     2.45 um     1.29 um  
   1.00 GeV   1.026E+04  6.026E+00   78.70 um     2.81 um     1.37 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  1.9689E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
