 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-73-26.txt

 Ion = Iron         [26] , Mass = 73 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   5.673E+03  2.785E+02    2.11 um     3650 A      3990 A   
   9.00 MeV   6.279E+03  2.560E+02    2.27 um     3732 A      4142 A   
  10.00 MeV   6.851E+03  2.372E+02    2.41 um     3800 A      4270 A   
  11.00 MeV   7.389E+03  2.213E+02    2.54 um     3855 A      4381 A   
  12.00 MeV   7.891E+03  2.076E+02    2.66 um     3903 A      4476 A   
  13.00 MeV   8.359E+03  1.956E+02    2.78 um     3943 A      4561 A   
  14.00 MeV   8.795E+03  1.851E+02    2.89 um     3979 A      4636 A   
  15.00 MeV   9.200E+03  1.758E+02    3.00 um     4010 A      4704 A   
  16.00 MeV   9.578E+03  1.674E+02    3.10 um     4038 A      4765 A   
  17.00 MeV   9.929E+03  1.599E+02    3.20 um     4063 A      4821 A   
  18.00 MeV   1.026E+04  1.531E+02    3.30 um     4086 A      4873 A   
  20.00 MeV   1.085E+04  1.412E+02    3.48 um     4131 A      4965 A   
  22.50 MeV   1.148E+04  1.290E+02    3.70 um     4180 A      5064 A   
  25.00 MeV   1.202E+04  1.188E+02    3.90 um     4222 A      5149 A   
  27.50 MeV   1.248E+04  1.103E+02    4.10 um     4258 A      5225 A   
  30.00 MeV   1.287E+04  1.030E+02    4.30 um     4291 A      5292 A   
  32.50 MeV   1.322E+04  9.672E+01    4.49 um     4321 A      5353 A   
  35.00 MeV   1.351E+04  9.120E+01    4.67 um     4348 A      5409 A   
  37.50 MeV   1.377E+04  8.633E+01    4.85 um     4374 A      5461 A   
  40.00 MeV   1.400E+04  8.200E+01    5.03 um     4397 A      5509 A   
  45.00 MeV   1.438E+04  7.461E+01    5.38 um     4454 A      5596 A   
  50.00 MeV   1.467E+04  6.853E+01    5.72 um     4505 A      5675 A   
  55.00 MeV   1.490E+04  6.344E+01    6.05 um     4553 A      5746 A   
  60.00 MeV   1.508E+04  5.911E+01    6.38 um     4599 A      5813 A   
  65.00 MeV   1.521E+04  5.537E+01    6.71 um     4641 A      5874 A   
  70.00 MeV   1.531E+04  5.211E+01    7.04 um     4683 A      5932 A   
  80.00 MeV   1.543E+04  4.669E+01    7.68 um     4804 A      6040 A   
  90.00 MeV   1.548E+04  4.236E+01    8.33 um     4919 A      6139 A   
 100.00 MeV   1.546E+04  3.882E+01    8.97 um     5030 A      6232 A   
 110.00 MeV   1.541E+04  3.586E+01    9.61 um     5138 A      6320 A   
 120.00 MeV   1.533E+04  3.335E+01   10.26 um     5244 A      6404 A   
 130.00 MeV   1.523E+04  3.119E+01   10.91 um     5348 A      6485 A   
 140.00 MeV   1.512E+04  2.931E+01   11.57 um     5450 A      6565 A   
 150.00 MeV   1.506E+04  2.765E+01   12.23 um     5552 A      6642 A   
 160.00 MeV   1.508E+04  2.619E+01   12.89 um     5651 A      6717 A   
 170.00 MeV   1.503E+04  2.488E+01   13.56 um     5749 A      6791 A   
 180.00 MeV   1.494E+04  2.371E+01   14.22 um     5846 A      6863 A   
