 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-65-28.txt

 Ion = Nickel       [28] , Mass = 65 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 65 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   5.485E+03  3.996E+02    1.86 um     6768 A      6485 A   
   9.00 MeV   6.443E+03  3.697E+02    2.00 um     6955 A      6753 A   
  10.00 MeV   7.376E+03  3.445E+02    2.11 um     7099 A      6970 A   
  11.00 MeV   8.268E+03  3.229E+02    2.22 um     7215 A      7149 A   
  12.00 MeV   9.106E+03  3.041E+02    2.32 um     7309 A      7300 A   
  13.00 MeV   9.886E+03  2.877E+02    2.41 um     7387 A      7429 A   
  14.00 MeV   1.061E+04  2.731E+02    2.50 um     7454 A      7542 A   
  15.00 MeV   1.127E+04  2.601E+02    2.58 um     7512 A      7642 A   
  16.00 MeV   1.188E+04  2.485E+02    2.66 um     7562 A      7731 A   
  17.00 MeV   1.243E+04  2.379E+02    2.73 um     7607 A      7812 A   
  18.00 MeV   1.294E+04  2.283E+02    2.80 um     7647 A      7885 A   
  20.00 MeV   1.383E+04  2.115E+02    2.94 um     7717 A      8015 A   
  22.50 MeV   1.476E+04  1.940E+02    3.11 um     7789 A      8152 A   
  25.00 MeV   1.552E+04  1.795E+02    3.26 um     7849 A      8270 A   
  27.50 MeV   1.616E+04  1.671E+02    3.41 um     7901 A      8373 A   
  30.00 MeV   1.672E+04  1.565E+02    3.56 um     7946 A      8465 A   
  32.50 MeV   1.720E+04  1.473E+02    3.70 um     7985 A      8548 A   
  35.00 MeV   1.762E+04  1.393E+02    3.84 um     8021 A      8624 A   
  37.50 MeV   1.800E+04  1.321E+02    3.97 um     8053 A      8694 A   
  40.00 MeV   1.835E+04  1.257E+02    4.10 um     8083 A      8759 A   
  45.00 MeV   1.895E+04  1.148E+02    4.36 um     8139 A      8876 A   
  50.00 MeV   1.947E+04  1.057E+02    4.62 um     8188 A      8981 A   
  55.00 MeV   1.992E+04  9.813E+01    4.87 um     8232 A      9075 A   
  60.00 MeV   2.032E+04  9.164E+01    5.11 um     8271 A      9162 A   
  65.00 MeV   2.067E+04  8.601E+01    5.35 um     8307 A      9242 A   
  70.00 MeV   2.098E+04  8.110E+01    5.59 um     8341 A      9317 A   
  80.00 MeV   2.151E+04  7.290E+01    6.05 um     8413 A      9453 A   
  90.00 MeV   2.194E+04  6.631E+01    6.50 um     8479 A      9576 A   
 100.00 MeV   2.229E+04  6.090E+01    6.95 um     8539 A      9688 A   
 110.00 MeV   2.256E+04  5.637E+01    7.39 um     8595 A      9792 A   
 120.00 MeV   2.279E+04  5.252E+01    7.83 um     8647 A      9890 A   
 130.00 MeV   2.297E+04  4.919E+01    8.26 um     8697 A      9982 A   
 140.00 MeV   2.319E+04  4.629E+01    8.69 um     8745 A      1.01 um  
 150.00 MeV   2.331E+04  4.374E+01    9.12 um     8790 A      1.02 um  
 160.00 MeV   2.335E+04  4.147E+01    9.55 um     8834 A      1.02 um  
 170.00 MeV   2.340E+04  3.945E+01    9.97 um     8877 A      1.03 um  
 180.00 MeV   2.343E+04  3.762E+01   10.40 um     8919 A      1.04 um  
 200.00 MeV   2.342E+04  3.447E+01   11.24 um     9041 A      1.05 um  
 225.00 MeV   2.333E+04  3.125E+01   12.31 um     9213 A      1.07 um  
 250.00 MeV   2.317E+04  2.861E+01   13.38 um     9381 A      1.09 um  
 275.00 MeV   2.297E+04  2.641E+01   14.46 um     9547 A      1.10 um  
 300.00 MeV   2.272E+04  2.454E+01   15.55 um     9712 A      1.12 um  
 325.00 MeV   2.245E+04  2.294E+01   16.65 um     9877 A      1.13 um  
 350.00 MeV   2.217E+04  2.155E+01   17.77 um     1.00 um     1.15 um  
 375.00 MeV   2.187E+04  2.032E+01   18.90 um     1.02 um     1.17 um  
 400.00 MeV   2.157E+04  1.924E+01   20.05 um     1.04 um     1.18 um  
 450.00 MeV   2.095E+04  1.740E+01   22.40 um     1.10 um     1.21 um  
 500.00 MeV   2.034E+04  1.591E+01   24.81 um     1.16 um     1.24 um  
 550.00 MeV   1.975E+04  1.466E+01   27.30 um     1.22 um     1.27 um  
 600.00 MeV   1.917E+04  1.361E+01   29.87 um     1.28 um     1.31 um  
 650.00 MeV   1.862E+04  1.270E+01   32.51 um     1.34 um     1.34 um  
 700.00 MeV   1.810E+04  1.192E+01   35.23 um     1.40 um     1.37 um  
 800.00 MeV   1.714E+04  1.062E+01   40.90 um     1.62 um     1.44 um  
 900.00 MeV   1.627E+04  9.591E+00   46.88 um     1.84 um     1.52 um  
   1.00 GeV   1.550E+04  8.753E+00   53.17 um     2.06 um     1.59 um  
-----------------------------------------------------------
