 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-60-32.txt

 Ion = Germanium    [32] , Mass = 60 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.530E+03  3.319E+02    1.75 um     3547 A      3773 A   
   9.00 MeV   8.309E+03  3.055E+02    1.86 um     3612 A      3894 A   
  10.00 MeV   9.020E+03  2.834E+02    1.97 um     3665 A      3995 A   
  11.00 MeV   9.670E+03  2.646E+02    2.07 um     3709 A      4082 A   
  12.00 MeV   1.026E+04  2.484E+02    2.17 um     3747 A      4158 A   
  13.00 MeV   1.081E+04  2.343E+02    2.25 um     3779 A      4225 A   
  14.00 MeV   1.131E+04  2.218E+02    2.34 um     3808 A      4285 A   
  15.00 MeV   1.177E+04  2.108E+02    2.42 um     3833 A      4339 A   
  16.00 MeV   1.220E+04  2.009E+02    2.50 um     3856 A      4388 A   
  17.00 MeV   1.259E+04  1.919E+02    2.58 um     3877 A      4434 A   
  18.00 MeV   1.296E+04  1.839E+02    2.66 um     3895 A      4475 A   
  20.00 MeV   1.362E+04  1.698E+02    2.80 um     3931 A      4550 A   
  22.50 MeV   1.434E+04  1.552E+02    2.98 um     3971 A      4631 A   
  25.00 MeV   1.496E+04  1.431E+02    3.14 um     4005 A      4702 A   
  27.50 MeV   1.549E+04  1.329E+02    3.30 um     4034 A      4764 A   
  30.00 MeV   1.596E+04  1.242E+02    3.46 um     4061 A      4820 A   
  32.50 MeV   1.638E+04  1.167E+02    3.61 um     4085 A      4871 A   
  35.00 MeV   1.675E+04  1.101E+02    3.76 um     4107 A      4918 A   
  37.50 MeV   1.707E+04  1.042E+02    3.90 um     4128 A      4961 A   
  40.00 MeV   1.737E+04  9.904E+01    4.05 um     4147 A      5002 A   
  45.00 MeV   1.786E+04  9.018E+01    4.33 um     4191 A      5075 A   
  50.00 MeV   1.826E+04  8.288E+01    4.60 um     4231 A      5141 A   
  55.00 MeV   1.858E+04  7.677E+01    4.87 um     4267 A      5201 A   
  60.00 MeV   1.883E+04  7.156E+01    5.13 um     4302 A      5257 A   
  65.00 MeV   1.903E+04  6.706E+01    5.40 um     4334 A      5309 A   
  70.00 MeV   1.919E+04  6.314E+01    5.66 um     4365 A      5357 A   
  80.00 MeV   1.940E+04  5.661E+01    6.17 um     4454 A      5448 A   
  90.00 MeV   1.950E+04  5.139E+01    6.68 um     4537 A      5530 A   
 100.00 MeV   1.952E+04  4.711E+01    7.19 um     4617 A      5608 A   
 110.00 MeV   1.949E+04  4.354E+01    7.70 um     4695 A      5681 A   
 120.00 MeV   1.942E+04  4.050E+01    8.21 um     4771 A      5751 A   
 130.00 MeV   1.957E+04  3.789E+01    8.73 um     4845 A      5818 A   
 140.00 MeV   1.959E+04  3.562E+01    9.23 um     4917 A      5883 A   
 150.00 MeV   1.955E+04  3.362E+01    9.74 um     4987 A      5946 A   
 160.00 MeV   1.950E+04  3.185E+01   10.25 um     5057 A      6007 A   
 170.00 MeV   1.943E+04  3.026E+01   10.77 um     5125 A      6066 A   
 180.00 MeV   1.935E+04  2.884E+01   11.28 um     5193 A      6125 A   
 200.00 MeV   1.915E+04  2.639E+01   12.32 um     5426 A      6239 A   
 225.00 MeV   1.886E+04  2.388E+01   13.63 um     5771 A      6379 A   
 250.00 MeV   1.855E+04  2.184E+01   14.96 um     6105 A      6516 A   
 275.00 MeV   1.823E+04  2.014E+01   16.32 um     6432 A      6651 A   
 300.00 MeV   1.792E+04  1.869E+01   17.70 um     6753 A      6786 A   
 325.00 MeV   1.760E+04  1.746E+01   19.11 um     7070 A      6921 A   
 350.00 MeV   1.730E+04  1.638E+01   20.54 um     7384 A      7056 A   
 375.00 MeV   1.700E+04  1.544E+01   21.99 um     7695 A      7192 A   
 400.00 MeV   1.671E+04  1.461E+01   23.47 um     8005 A      7328 A   
 450.00 MeV   1.616E+04  1.320E+01   26.51 um     9139 A      7605 A   
 500.00 MeV   1.565E+04  1.205E+01   29.65 um     1.02 um     7888 A   
 550.00 MeV   1.517E+04  1.109E+01   32.90 um     1.12 um     8178 A   
 600.00 MeV   1.472E+04  1.029E+01   36.24 um     1.22 um     8474 A   
 650.00 MeV   1.429E+04  9.596E+00   39.68 um     1.32 um     8778 A   
 700.00 MeV   1.390E+04  8.997E+00   43.23 um     1.42 um     9089 A   
 800.00 MeV   1.316E+04  8.008E+00   50.62 um     1.77 um     9736 A   
 900.00 MeV   1.249E+04  7.224E+00   58.41 um     2.09 um     1.04 um  
   1.00 GeV   1.188E+04  6.587E+00   66.62 um     2.40 um     1.11 um  
-----------------------------------------------------------
