 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-68-31.txt

 Ion = Gallium      [31] , Mass = 68 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.772E+03  4.909E+02    1.30 um     4398 A      4209 A   
   9.00 MeV   8.630E+03  4.548E+02    1.40 um     4518 A      4382 A   
  10.00 MeV   9.426E+03  4.243E+02    1.49 um     4618 A      4530 A   
  11.00 MeV   1.016E+04  3.981E+02    1.58 um     4701 A      4659 A   
  12.00 MeV   1.083E+04  3.754E+02    1.66 um     4773 A      4773 A   
  13.00 MeV   1.144E+04  3.554E+02    1.74 um     4836 A      4875 A   
  14.00 MeV   1.200E+04  3.376E+02    1.82 um     4891 A      4967 A   
  15.00 MeV   1.251E+04  3.218E+02    1.89 um     4941 A      5052 A   
  16.00 MeV   1.298E+04  3.075E+02    1.97 um     4985 A      5129 A   
  17.00 MeV   1.341E+04  2.946E+02    2.03 um     5026 A      5201 A   
  18.00 MeV   1.381E+04  2.829E+02    2.10 um     5063 A      5267 A   
  20.00 MeV   1.452E+04  2.623E+02    2.23 um     5130 A      5389 A   
  22.50 MeV   1.529E+04  2.408E+02    2.39 um     5203 A      5522 A   
  25.00 MeV   1.595E+04  2.229E+02    2.54 um     5266 A      5640 A   
  27.50 MeV   1.654E+04  2.078E+02    2.69 um     5321 A      5746 A   
  30.00 MeV   1.709E+04  1.947E+02    2.83 um     5370 A      5842 A   
  32.50 MeV   1.759E+04  1.834E+02    2.97 um     5414 A      5931 A   
  35.00 MeV   1.806E+04  1.734E+02    3.10 um     5453 A      6012 A   
  37.50 MeV   1.850E+04  1.646E+02    3.23 um     5490 A      6088 A   
  40.00 MeV   1.892E+04  1.567E+02    3.36 um     5523 A      6159 A   
  45.00 MeV   1.969E+04  1.432E+02    3.62 um     5589 A      6288 A   
  50.00 MeV   2.040E+04  1.320E+02    3.86 um     5646 A      6404 A   
  55.00 MeV   2.105E+04  1.225E+02    4.09 um     5697 A      6509 A   
