 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-69-28.txt

 Ion = Nickel       [28] , Mass = 69 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.828E+01  1.289E+03      58 A        42 A        30 A   
  11.00 keV   7.161E+01  1.323E+03      62 A        44 A        32 A   
  12.00 keV   7.479E+01  1.354E+03      66 A        47 A        33 A   
  13.00 keV   7.785E+01  1.382E+03      70 A        49 A        35 A   
  14.00 keV   8.079E+01  1.407E+03      73 A        51 A        37 A   
  15.00 keV   8.362E+01  1.431E+03      77 A        53 A        38 A   
  16.00 keV   8.637E+01  1.453E+03      80 A        55 A        40 A   
  17.00 keV   8.902E+01  1.473E+03      84 A        57 A        41 A   
  18.00 keV   9.160E+01  1.491E+03      88 A        59 A        43 A   
  20.00 keV   9.656E+01  1.525E+03      94 A        64 A        46 A   
  22.50 keV   1.024E+02  1.561E+03     103 A        68 A        49 A   
  25.00 keV   1.080E+02  1.592E+03     111 A        73 A        53 A   
  27.50 keV   1.132E+02  1.618E+03     120 A        78 A        56 A   
  30.00 keV   1.183E+02  1.641E+03     128 A        83 A        59 A   
  32.50 keV   1.231E+02  1.662E+03     136 A        87 A        63 A   
  35.00 keV   1.277E+02  1.679E+03     144 A        92 A        66 A   
  37.50 keV   1.322E+02  1.695E+03     152 A        96 A        69 A   
  40.00 keV   1.366E+02  1.709E+03     160 A       101 A        72 A   
  45.00 keV   1.448E+02  1.732E+03     176 A       110 A        78 A   
