 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-63-35.txt

 Ion = Bromine      [35] , Mass = 63 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.994E+03  4.019E+02    1.58 um     3068 A      3235 A   
   9.00 MeV   7.653E+03  3.704E+02    1.71 um     3149 A      3374 A   
  10.00 MeV   8.265E+03  3.439E+02    1.82 um     3216 A      3493 A   
  11.00 MeV   8.835E+03  3.214E+02    1.93 um     3273 A      3596 A   
  12.00 MeV   9.365E+03  3.019E+02    2.03 um     3322 A      3688 A   
  13.00 MeV   9.861E+03  2.850E+02    2.13 um     3365 A      3770 A   
  14.00 MeV   1.032E+04  2.700E+02    2.22 um     3402 A      3844 A   
  15.00 MeV   1.076E+04  2.567E+02    2.31 um     3436 A      3912 A   
  16.00 MeV   1.117E+04  2.447E+02    2.40 um     3467 A      3973 A   
  17.00 MeV   1.156E+04  2.340E+02    2.48 um     3494 A      4030 A   
  18.00 MeV   1.192E+04  2.242E+02    2.56 um     3520 A      4083 A   
  20.00 MeV   1.260E+04  2.072E+02    2.72 um     3567 A      4177 A   
  22.50 MeV   1.336E+04  1.895E+02    2.90 um     3620 A      4280 A   
  25.00 MeV   1.404E+04  1.749E+02    3.08 um     3665 A      4369 A   
  27.50 MeV   1.465E+04  1.625E+02    3.25 um     3704 A      4448 A   
  30.00 MeV   1.521E+04  1.519E+02    3.41 um     3739 A      4519 A   
  32.50 MeV   1.572E+04  1.428E+02    3.57 um     3770 A      4583 A   
  35.00 MeV   1.619E+04  1.348E+02    3.73 um     3798 A      4641 A   
  37.50 MeV   1.662E+04  1.277E+02    3.88 um     3824 A      4695 A   
  40.00 MeV   1.701E+04  1.213E+02    4.02 um     3848 A      4745 A   
  45.00 MeV   1.771E+04  1.106E+02    4.31 um     3901 A      4835 A   
  50.00 MeV   1.831E+04  1.017E+02    4.58 um     3948 A      4915 A   
  55.00 MeV   1.882E+04  9.420E+01    4.85 um     3990 A      4987 A   
  60.00 MeV   1.925E+04  8.784E+01    5.11 um     4029 A      5053 A   
  65.00 MeV   1.963E+04  8.235E+01    5.36 um     4065 A      5113 A   
  70.00 MeV   1.995E+04  7.756E+01    5.61 um     4099 A      5169 A   
  80.00 MeV   2.045E+04  6.958E+01    6.10 um     4190 A      5272 A   
  90.00 MeV   2.081E+04  6.319E+01    6.58 um     4274 A      5364 A   
 100.00 MeV   2.106E+04  5.796E+01    7.06 um     4352 A      5448 A   
 110.00 MeV   2.122E+04  5.358E+01    7.53 um     4426 A      5527 A   
 120.00 MeV   2.131E+04  4.986E+01    8.00 um     4498 A      5601 A   
 130.00 MeV   2.147E+04  4.665E+01    8.46 um     4566 A      5671 A   
 140.00 MeV   2.170E+04  4.387E+01    8.92 um     4632 A      5737 A   
 150.00 MeV   2.179E+04  4.141E+01    9.38 um     4695 A      5801 A   
 160.00 MeV   2.185E+04  3.924E+01    9.84 um     4757 A      5862 A   
 170.00 MeV   2.187E+04  3.730E+01   10.29 um     4818 A      5921 A   
 180.00 MeV   2.188E+04  3.555E+01   10.75 um     4877 A      5978 A   
 200.00 MeV   2.182E+04  3.254E+01   11.66 um     5075 A      6088 A   
 225.00 MeV   2.166E+04  2.946E+01   12.81 um     5362 A      6219 A   
 250.00 MeV   2.144E+04  2.694E+01   13.97 um     5638 A      6346 A   
 275.00 MeV   2.119E+04  2.485E+01   15.14 um     5907 A      6469 A   
 300.00 MeV   2.091E+04  2.308E+01   16.32 um     6169 A      6590 A   
 325.00 MeV   2.062E+04  2.155E+01   17.52 um     6427 A      6708 A   
 350.00 MeV   2.032E+04  2.023E+01   18.74 um     6682 A      6826 A   
 375.00 MeV   2.002E+04  1.907E+01   19.98 um     6934 A      6944 A   
 400.00 MeV   1.973E+04  1.804E+01   21.24 um     7184 A      7060 A   
 450.00 MeV   1.915E+04  1.631E+01   23.81 um     8098 A      7295 A   
 500.00 MeV   1.859E+04  1.489E+01   26.45 um     8967 A      7531 A   
 550.00 MeV   1.806E+04  1.371E+01   29.18 um     9804 A      7770 A   
 600.00 MeV   1.755E+04  1.272E+01   31.98 um     1.06 um     8013 A   
 650.00 MeV   1.707E+04  1.187E+01   34.87 um     1.14 um     8260 A   
 700.00 MeV   1.661E+04  1.113E+01   37.84 um     1.22 um     8513 A   
 800.00 MeV   1.576E+04  9.907E+00   44.01 um     1.51 um     9034 A   
 900.00 MeV   1.499E+04  8.939E+00   50.51 um     1.77 um     9579 A   
   1.00 GeV   1.428E+04  8.153E+00   57.35 um     2.03 um     1.01 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  1.7466E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
