 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-29.txt

 Ion = Copper       [29] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.248E+03  4.766E+02    1.54 um     5299 A      5066 A   
   9.00 MeV   7.015E+03  4.413E+02    1.67 um     5453 A      5286 A   
  10.00 MeV   7.752E+03  4.114E+02    1.78 um     5579 A      5473 A   
  11.00 MeV   8.453E+03  3.859E+02    1.88 um     5684 A      5635 A   
  12.00 MeV   9.115E+03  3.636E+02    1.98 um     5773 A      5776 A   
  13.00 MeV   9.737E+03  3.441E+02    2.07 um     5850 A      5901 A   
  14.00 MeV   1.032E+04  3.269E+02    2.16 um     5917 A      6013 A   
  15.00 MeV   1.087E+04  3.114E+02    2.25 um     5975 A      6113 A   
  16.00 MeV   1.137E+04  2.976E+02    2.33 um     6028 A      6205 A   
  17.00 MeV   1.185E+04  2.850E+02    2.41 um     6075 A      6289 A   
  18.00 MeV   1.229E+04  2.736E+02    2.48 um     6118 A      6366 A   
  20.00 MeV   1.310E+04  2.536E+02    2.63 um     6193 A      6505 A   
  22.50 MeV   1.398E+04  2.327E+02    2.80 um     6274 A      6655 A   
  25.00 MeV   1.474E+04  2.154E+02    2.96 um     6341 A      6785 A   
  27.50 MeV   1.541E+04  2.006E+02    3.12 um     6399 A      6900 A   
  30.00 MeV   1.601E+04  1.880E+02    3.27 um     6450 A      7003 A   
  32.50 MeV   1.656E+04  1.770E+02    3.42 um     6496 A      7096 A   
  35.00 MeV   1.707E+04  1.673E+02    3.56 um     6536 A      7182 A   
  37.50 MeV   1.753E+04  1.588E+02    3.70 um     6573 A      7260 A   
  40.00 MeV   1.797E+04  1.511E+02    3.84 um     6607 A      7333 A   
  45.00 MeV   1.875E+04  1.380E+02    4.10 um     6671 A      7465 A   
  50.00 MeV   1.945E+04  1.272E+02    4.36 um     6727 A      7582 A   
  55.00 MeV   2.008E+04  1.181E+02    4.60 um     6777 A      7687 A   
  60.00 MeV   2.064E+04  1.103E+02    4.85 um     6822 A      7783 A   
  65.00 MeV   2.114E+04  1.036E+02    5.08 um     6862 A      7871 A   
  70.00 MeV   2.159E+04  9.767E+01    5.31 um     6899 A      7953 A   
  80.00 MeV   2.237E+04  8.782E+01    5.76 um     6980 A      8100 A   
  90.00 MeV   2.300E+04  7.992E+01    6.19 um     7051 A      8231 A   
 100.00 MeV   2.351E+04  7.342E+01    6.62 um     7116 A      8351 A   
 110.00 MeV   2.392E+04  6.797E+01    7.04 um     7176 A      8460 A   
 120.00 MeV   2.425E+04  6.333E+01    7.45 um     7232 A      8562 A   
 130.00 MeV   2.452E+04  5.933E+01    7.85 um     7285 A      8658 A   
 140.00 MeV   2.472E+04  5.584E+01    8.26 um     7335 A      8748 A   
 150.00 MeV   2.491E+04  5.277E+01    8.66 um     7383 A      8834 A   
 160.00 MeV   2.510E+04  5.005E+01    9.05 um     7429 A      8917 A   
 170.00 MeV   2.519E+04  4.761E+01    9.45 um     7474 A      8996 A   
 180.00 MeV   2.521E+04  4.541E+01    9.84 um     7518 A      9072 A   
 200.00 MeV   2.525E+04  4.162E+01   10.63 um     7642 A      9218 A   
 225.00 MeV   2.518E+04  3.773E+01   11.62 um     7818 A      9392 A   
 250.00 MeV   2.503E+04  3.455E+01   12.61 um     7989 A      9557 A   
 275.00 MeV   2.482E+04  3.190E+01   13.61 um     8157 A      9716 A   
 300.00 MeV   2.457E+04  2.965E+01   14.62 um     8323 A      9872 A   
 325.00 MeV   2.429E+04  2.772E+01   15.64 um     8488 A      1.00 um  
 350.00 MeV   2.399E+04  2.604E+01   16.67 um     8652 A      1.02 um  
 375.00 MeV   2.369E+04  2.456E+01   17.72 um     8817 A      1.03 um  
 400.00 MeV   2.337E+04  2.326E+01   18.78 um     8982 A      1.05 um  
 450.00 MeV   2.275E+04  2.104E+01   20.94 um     9562 A      1.08 um  
 500.00 MeV   2.213E+04  1.924E+01   23.16 um     1.01 um     1.11 um  
 550.00 MeV   2.153E+04  1.773E+01   25.45 um     1.07 um     1.14 um  
 600.00 MeV   2.096E+04  1.646E+01   27.80 um     1.13 um     1.17 um  
 650.00 MeV   2.041E+04  1.537E+01   30.21 um     1.19 um     1.20 um  
 700.00 MeV   1.989E+04  1.442E+01   32.69 um     1.24 um     1.23 um  
 800.00 MeV   1.894E+04  1.285E+01   37.83 um     1.45 um     1.29 um  
 900.00 MeV   1.809E+04  1.161E+01   43.23 um     1.65 um     1.36 um  
   1.00 GeV   1.732E+04  1.059E+01   48.87 um     1.85 um     1.43 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  5.2514E-04                keV/(ug/cm2) 
  5.2514E-04                MeV/(mg/cm2) 
  5.2514E-01                keV/(mg/cm2) 
  2.0754E-01                 eV/(1E15 atoms/cm2)
  2.1166E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
