 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-69-32.txt

 Ion = Germanium    [32] , Mass = 69 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.058E+02  1.392E+03      54 A        39 A        28 A   
  11.00 keV   1.110E+02  1.430E+03      57 A        41 A        29 A   
  12.00 keV   1.159E+02  1.465E+03      61 A        43 A        31 A   
  13.00 keV   1.206E+02  1.497E+03      64 A        45 A        32 A   
  14.00 keV   1.252E+02  1.527E+03      67 A        47 A        34 A   
  15.00 keV   1.296E+02  1.554E+03      71 A        49 A        35 A   
  16.00 keV   1.338E+02  1.579E+03      74 A        51 A        37 A   
  17.00 keV   1.380E+02  1.602E+03      77 A        53 A        38 A   
  18.00 keV   1.420E+02  1.624E+03      80 A        55 A        39 A   
  20.00 keV   1.496E+02  1.663E+03      86 A        58 A        42 A   
  22.50 keV   1.587E+02  1.706E+03      94 A        63 A        45 A   
  25.00 keV   1.673E+02  1.743E+03     101 A        67 A        48 A   
  27.50 keV   1.755E+02  1.775E+03     109 A        71 A        51 A   
  30.00 keV   1.833E+02  1.803E+03     116 A        75 A        54 A   
  32.50 keV   1.908E+02  1.828E+03     123 A        79 A        57 A   
  35.00 keV   1.980E+02  1.850E+03     130 A        83 A        60 A   
  37.50 keV   2.049E+02  1.870E+03     137 A        87 A        63 A   
  40.00 keV   2.116E+02  1.887E+03     144 A        91 A        66 A   
  45.00 keV   2.245E+02  1.917E+03     158 A        99 A        71 A   
