 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-62-31.txt

 Ion = Gallium      [31] , Mass = 62 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.332E+02  1.300E+03      54 A        40 A        29 A   
  11.00 keV   1.397E+02  1.335E+03      57 A        42 A        31 A   
  12.00 keV   1.459E+02  1.367E+03      61 A        44 A        32 A   
  13.00 keV   1.519E+02  1.396E+03      64 A        47 A        34 A   
  14.00 keV   1.576E+02  1.422E+03      68 A        49 A        35 A   
  15.00 keV   1.631E+02  1.447E+03      71 A        51 A        36 A   
  16.00 keV   1.685E+02  1.470E+03      74 A        53 A        38 A   
  17.00 keV   1.737E+02  1.491E+03      77 A        55 A        39 A   
  18.00 keV   1.787E+02  1.510E+03      80 A        57 A        41 A   
  20.00 keV   1.884E+02  1.545E+03      87 A        60 A        44 A   
  22.50 keV   1.998E+02  1.583E+03      94 A        65 A        47 A   
  25.00 keV   2.106E+02  1.616E+03     102 A        70 A        50 A   
  27.50 keV   2.209E+02  1.644E+03     109 A        74 A        53 A   
  30.00 keV   2.307E+02  1.669E+03     117 A        78 A        56 A   
  32.50 keV   2.401E+02  1.691E+03     124 A        83 A        59 A   
  35.00 keV   2.492E+02  1.710E+03     131 A        87 A        62 A   
  37.50 keV   2.580E+02  1.727E+03     138 A        91 A        65 A   
  40.00 keV   2.664E+02  1.742E+03     145 A        95 A        68 A   
  45.00 keV   2.826E+02  1.767E+03     160 A       103 A        74 A   
