 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-74-33.txt

 Ion = Arsenic      [33] , Mass = 74 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.201E+02  1.460E+03      53 A        37 A        27 A   
  11.00 keV   1.259E+02  1.501E+03      57 A        39 A        28 A   
  12.00 keV   1.315E+02  1.539E+03      60 A        41 A        30 A   
  13.00 keV   1.369E+02  1.573E+03      63 A        43 A        31 A   
  14.00 keV   1.420E+02  1.605E+03      66 A        45 A        32 A   
  15.00 keV   1.470E+02  1.634E+03      70 A        47 A        34 A   
  16.00 keV   1.519E+02  1.661E+03      73 A        49 A        35 A   
  17.00 keV   1.565E+02  1.687E+03      76 A        50 A        36 A   
  18.00 keV   1.611E+02  1.710E+03      79 A        52 A        38 A   
  20.00 keV   1.698E+02  1.753E+03      85 A        56 A        40 A   
  22.50 keV   1.801E+02  1.799E+03      92 A        60 A        43 A   
  25.00 keV   1.898E+02  1.840E+03      99 A        64 A        46 A   
  27.50 keV   1.991E+02  1.875E+03     106 A        68 A        49 A   
  30.00 keV   2.079E+02  1.906E+03     113 A        71 A        52 A   
  32.50 keV   2.164E+02  1.933E+03     120 A        75 A        54 A   
  35.00 keV   2.246E+02  1.958E+03     127 A        79 A        57 A   
  37.50 keV   2.325E+02  1.979E+03     134 A        83 A        60 A   
  40.00 keV   2.401E+02  1.999E+03     140 A        86 A        62 A   
  45.00 keV   2.547E+02  2.033E+03     154 A        93 A        67 A   
