 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-71-29.txt

 Ion = Copper       [29] , Mass = 71 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.457E+01  1.033E+03      43 A        48 A        37 A   
  11.00 keV   5.723E+01  1.066E+03      45 A        50 A        39 A   
  12.00 keV   5.978E+01  1.097E+03      48 A        53 A        41 A   
  13.00 keV   6.222E+01  1.125E+03      50 A        55 A        43 A   
  14.00 keV   6.457E+01  1.151E+03      53 A        58 A        44 A   
  15.00 keV   6.683E+01  1.176E+03      55 A        60 A        46 A   
  16.00 keV   6.903E+01  1.199E+03      58 A        62 A        48 A   
  17.00 keV   7.115E+01  1.220E+03      60 A        65 A        50 A   
  18.00 keV   7.321E+01  1.240E+03      63 A        67 A        52 A   
  20.00 keV   7.717E+01  1.277E+03      67 A        71 A        55 A   
  22.50 keV   8.185E+01  1.318E+03      73 A        76 A        59 A   
  25.00 keV   8.628E+01  1.354E+03      79 A        82 A        63 A   
  27.50 keV   9.049E+01  1.387E+03      85 A        87 A        67 A   
  30.00 keV   9.452E+01  1.415E+03      90 A        92 A        71 A   
  32.50 keV   9.838E+01  1.442E+03      96 A        96 A        75 A   
  35.00 keV   1.021E+02  1.465E+03     101 A       101 A        79 A   
  37.50 keV   1.057E+02  1.487E+03     106 A       106 A        82 A   
  40.00 keV   1.091E+02  1.507E+03     112 A       111 A        86 A   
  45.00 keV   1.158E+02  1.541E+03     122 A       120 A        93 A   
