 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-70-33.txt

 Ion = Arsenic      [33] , Mass = 70 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.611E+01  1.094E+03      40 A        45 A        34 A   
  11.00 keV   9.031E+01  1.131E+03      42 A        47 A        36 A   
  12.00 keV   9.433E+01  1.164E+03      44 A        49 A        38 A   
  13.00 keV   9.818E+01  1.196E+03      47 A        52 A        40 A   
  14.00 keV   1.019E+02  1.225E+03      49 A        54 A        41 A   
  15.00 keV   1.055E+02  1.252E+03      51 A        56 A        43 A   
  16.00 keV   1.089E+02  1.277E+03      54 A        58 A        45 A   
  17.00 keV   1.123E+02  1.301E+03      56 A        60 A        46 A   
  18.00 keV   1.155E+02  1.324E+03      58 A        62 A        48 A   
  20.00 keV   1.218E+02  1.365E+03      62 A        66 A        51 A   
  22.50 keV   1.292E+02  1.411E+03      68 A        71 A        55 A   
  25.00 keV   1.361E+02  1.452E+03      73 A        76 A        59 A   
  27.50 keV   1.428E+02  1.488E+03      78 A        80 A        62 A   
  30.00 keV   1.491E+02  1.521E+03      83 A        85 A        66 A   
  32.50 keV   1.552E+02  1.551E+03      88 A        89 A        69 A   
  35.00 keV   1.611E+02  1.578E+03      92 A        93 A        72 A   
  37.50 keV   1.667E+02  1.603E+03      97 A        98 A        76 A   
  40.00 keV   1.722E+02  1.626E+03     102 A       102 A        79 A   
  45.00 keV   1.827E+02  1.667E+03     111 A       110 A        85 A   
