 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-63-34.txt

 Ion = Selenium     [34] , Mass = 63 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.953E+01  1.031E+03      39 A        46 A        35 A   
  11.00 keV   9.390E+01  1.066E+03      41 A        49 A        37 A   
  12.00 keV   9.808E+01  1.098E+03      44 A        51 A        39 A   
  13.00 keV   1.021E+02  1.127E+03      46 A        53 A        41 A   
  14.00 keV   1.059E+02  1.155E+03      48 A        56 A        42 A   
  15.00 keV   1.097E+02  1.180E+03      50 A        58 A        44 A   
  16.00 keV   1.133E+02  1.204E+03      53 A        60 A        46 A   
  17.00 keV   1.167E+02  1.227E+03      55 A        62 A        48 A   
  18.00 keV   1.201E+02  1.248E+03      57 A        64 A        49 A   
  20.00 keV   1.266E+02  1.287E+03      61 A        68 A        52 A   
  22.50 keV   1.343E+02  1.331E+03      66 A        73 A        56 A   
  25.00 keV   1.416E+02  1.370E+03      71 A        78 A        60 A   
  27.50 keV   1.485E+02  1.404E+03      76 A        83 A        64 A   
  30.00 keV   1.551E+02  1.435E+03      81 A        88 A        67 A   
  32.50 keV   1.614E+02  1.464E+03      86 A        92 A        71 A   
  35.00 keV   1.675E+02  1.489E+03      91 A        97 A        74 A   
  37.50 keV   1.734E+02  1.513E+03      95 A       101 A        78 A   
  40.00 keV   1.791E+02  1.535E+03     100 A       105 A        81 A   
  45.00 keV   1.899E+02  1.573E+03     109 A       114 A        88 A   
