 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-61-25.txt

 Ion = Manganese    [25] , Mass = 61 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.872E+03  2.226E+02    1.87 um     3166 A      3500 A   
   9.00 MeV   7.462E+03  2.044E+02    2.00 um     3225 A      3611 A   
  10.00 MeV   7.996E+03  1.892E+02    2.13 um     3274 A      3706 A   
  11.00 MeV   8.479E+03  1.764E+02    2.24 um     3316 A      3789 A   
  12.00 MeV   8.916E+03  1.653E+02    2.35 um     3352 A      3862 A   
  13.00 MeV   9.313E+03  1.557E+02    2.46 um     3383 A      3928 A   
  14.00 MeV   9.675E+03  1.473E+02    2.56 um     3411 A      3987 A   
  15.00 MeV   1.001E+04  1.398E+02    2.66 um     3437 A      4041 A   
  16.00 MeV   1.031E+04  1.331E+02    2.75 um     3460 A      4090 A   
  17.00 MeV   1.059E+04  1.271E+02    2.84 um     3481 A      4136 A   
  18.00 MeV   1.085E+04  1.216E+02    2.93 um     3500 A      4179 A   
  20.00 MeV   1.131E+04  1.121E+02    3.11 um     3539 A      4256 A   
  22.50 MeV   1.179E+04  1.023E+02    3.32 um     3584 A      4341 A   
  25.00 MeV   1.221E+04  9.422E+01    3.53 um     3623 A      4416 A   
  27.50 MeV   1.256E+04  8.741E+01    3.72 um     3659 A      4483 A   
  30.00 MeV   1.286E+04  8.160E+01    3.92 um     3691 A      4544 A   
  32.50 MeV   1.313E+04  7.657E+01    4.11 um     3721 A      4601 A   
  35.00 MeV   1.336E+04  7.218E+01    4.29 um     3748 A      4653 A   
  37.50 MeV   1.356E+04  6.830E+01    4.48 um     3774 A      4701 A   
  40.00 MeV   1.373E+04  6.485E+01    4.66 um     3798 A      4747 A   
  45.00 MeV   1.402E+04  5.898E+01    5.02 um     3860 A      4832 A   
  50.00 MeV   1.424E+04  5.415E+01    5.37 um     3917 A      4909 A   
  55.00 MeV   1.440E+04  5.011E+01    5.71 um     3971 A      4980 A   
  60.00 MeV   1.452E+04  4.667E+01    6.06 um     4022 A      5046 A   
  65.00 MeV   1.461E+04  4.370E+01    6.40 um     4070 A      5109 A   
  70.00 MeV   1.466E+04  4.112E+01    6.74 um     4118 A      5169 A   
  80.00 MeV   1.471E+04  3.683E+01    7.41 um     4262 A      5281 A   
  90.00 MeV   1.468E+04  3.340E+01    8.09 um     4399 A      5386 A   
 100.00 MeV   1.461E+04  3.059E+01    8.77 um     4532 A      5485 A   
 110.00 MeV   1.451E+04  2.825E+01    9.46 um     4662 A      5581 A   
 120.00 MeV   1.438E+04  2.626E+01   10.15 um     4789 A      5673 A   
 130.00 MeV   1.439E+04  2.456E+01   10.84 um     4914 A      5763 A   
 140.00 MeV   1.436E+04  2.307E+01   11.53 um     5035 A      5850 A   
 150.00 MeV   1.427E+04  2.176E+01   12.23 um     5154 A      5936 A   
 160.00 MeV   1.418E+04  2.061E+01   12.93 um     5271 A      6020 A   
 170.00 MeV   1.408E+04  1.958E+01   13.64 um     5387 A      6103 A   
 180.00 MeV   1.397E+04  1.865E+01   14.35 um     5502 A      6185 A   
 200.00 MeV   1.374E+04  1.705E+01   15.79 um     5908 A      6346 A   
 225.00 MeV   1.344E+04  1.542E+01   17.62 um     6500 A      6546 A   
 250.00 MeV   1.314E+04  1.409E+01   19.50 um     7066 A      6746 A   
 275.00 MeV   1.283E+04  1.299E+01   21.42 um     7613 A      6945 A   
 300.00 MeV   1.254E+04  1.205E+01   23.39 um     8147 A      7145 A   
 325.00 MeV   1.226E+04  1.125E+01   25.40 um     8670 A      7348 A   
 350.00 MeV   1.199E+04  1.055E+01   27.46 um     9185 A      7552 A   
 375.00 MeV   1.173E+04  9.941E+00   29.57 um     9695 A      7759 A   
 400.00 MeV   1.149E+04  9.401E+00   31.72 um     1.02 um     7969 A   
 450.00 MeV   1.103E+04  8.489E+00   36.16 um     1.20 um     8397 A   
 500.00 MeV   1.061E+04  7.746E+00   40.78 um     1.38 um     8838 A   
 550.00 MeV   1.022E+04  7.129E+00   45.57 um     1.54 um     9293 A   
 600.00 MeV   9.866E+03  6.608E+00   50.55 um     1.70 um     9761 A   
 650.00 MeV   9.538E+03  6.162E+00   55.70 um     1.86 um     1.02 um  
 700.00 MeV   9.233E+03  5.775E+00   61.02 um     2.01 um     1.07 um  
 800.00 MeV   8.681E+03  5.137E+00   72.19 um     2.57 um     1.18 um  
 900.00 MeV   8.194E+03  4.632E+00   84.04 um     3.08 um     1.29 um  
   1.00 GeV   7.759E+03  4.222E+00   96.57 um     3.56 um     1.40 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  2.3715E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
