 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-62-30.txt

 Ion = Zinc         [30] , Mass = 62 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.365E+01  9.552E+02      41 A        49 A        37 A   
  11.00 keV   9.823E+01  9.862E+02      44 A        51 A        39 A   
  12.00 keV   1.026E+02  1.015E+03      46 A        54 A        41 A   
  13.00 keV   1.068E+02  1.041E+03      49 A        56 A        43 A   
  14.00 keV   1.108E+02  1.065E+03      51 A        59 A        45 A   
  15.00 keV   1.147E+02  1.088E+03      54 A        61 A        47 A   
  16.00 keV   1.185E+02  1.109E+03      56 A        64 A        49 A   
  17.00 keV   1.221E+02  1.129E+03      58 A        66 A        50 A   
  18.00 keV   1.257E+02  1.148E+03      61 A        68 A        52 A   
  20.00 keV   1.324E+02  1.182E+03      65 A        73 A        56 A   
  22.50 keV   1.405E+02  1.220E+03      71 A        78 A        60 A   
  25.00 keV   1.481E+02  1.254E+03      76 A        83 A        64 A   
  27.50 keV   1.553E+02  1.283E+03      82 A        88 A        68 A   
  30.00 keV   1.622E+02  1.310E+03      87 A        93 A        72 A   
  32.50 keV   1.688E+02  1.334E+03      92 A        98 A        76 A   
  35.00 keV   1.752E+02  1.356E+03      98 A       103 A        79 A   
  37.50 keV   1.814E+02  1.376E+03     103 A       108 A        83 A   
  40.00 keV   1.873E+02  1.395E+03     108 A       112 A        87 A   
  45.00 keV   1.987E+02  1.427E+03     118 A       122 A        94 A   
