 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-72-34.txt

 Ion = Selenium     [34] , Mass = 72 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 72 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.375E+01  1.132E+03      39 A        44 A        34 A   
  11.00 keV   8.784E+01  1.171E+03      42 A        46 A        35 A   
  12.00 keV   9.174E+01  1.206E+03      44 A        48 A        37 A   
  13.00 keV   9.549E+01  1.239E+03      46 A        51 A        39 A   
  14.00 keV   9.909E+01  1.269E+03      48 A        53 A        41 A   
  15.00 keV   1.026E+02  1.298E+03      51 A        55 A        42 A   
  16.00 keV   1.059E+02  1.324E+03      53 A        57 A        44 A   
  17.00 keV   1.092E+02  1.349E+03      55 A        59 A        45 A   
  18.00 keV   1.124E+02  1.373E+03      57 A        61 A        47 A   
  20.00 keV   1.184E+02  1.417E+03      61 A        65 A        50 A   
  22.50 keV   1.256E+02  1.465E+03      67 A        69 A        54 A   
  25.00 keV   1.324E+02  1.508E+03      72 A        74 A        57 A   
  27.50 keV   1.389E+02  1.546E+03      76 A        78 A        61 A   
  30.00 keV   1.451E+02  1.581E+03      81 A        83 A        64 A   
  32.50 keV   1.510E+02  1.613E+03      86 A        87 A        67 A   
  35.00 keV   1.567E+02  1.641E+03      91 A        91 A        71 A   
  37.50 keV   1.622E+02  1.668E+03      96 A        95 A        74 A   
  40.00 keV   1.675E+02  1.692E+03     100 A        99 A        77 A   
  45.00 keV   1.777E+02  1.735E+03     109 A       107 A        83 A   
