 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-71-35.txt

 Ion = Bromine      [35] , Mass = 71 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.184E+02  1.482E+03      52 A        37 A        26 A   
  11.00 keV   1.242E+02  1.524E+03      55 A        39 A        28 A   
  12.00 keV   1.297E+02  1.563E+03      58 A        41 A        29 A   
  13.00 keV   1.350E+02  1.599E+03      61 A        43 A        31 A   
  14.00 keV   1.401E+02  1.631E+03      64 A        45 A        32 A   
  15.00 keV   1.450E+02  1.662E+03      67 A        46 A        33 A   
  16.00 keV   1.497E+02  1.690E+03      70 A        48 A        35 A   
  17.00 keV   1.544E+02  1.716E+03      73 A        50 A        36 A   
  18.00 keV   1.588E+02  1.740E+03      76 A        52 A        37 A   
  20.00 keV   1.674E+02  1.785E+03      82 A        55 A        40 A   
  22.50 keV   1.776E+02  1.833E+03      89 A        59 A        43 A   
  25.00 keV   1.872E+02  1.875E+03      96 A        63 A        45 A   
  27.50 keV   1.963E+02  1.912E+03     103 A        67 A        48 A   
  30.00 keV   2.050E+02  1.944E+03     109 A        71 A        51 A   
  32.50 keV   2.134E+02  1.973E+03     116 A        75 A        54 A   
  35.00 keV   2.215E+02  1.999E+03     123 A        78 A        56 A   
  37.50 keV   2.292E+02  2.022E+03     129 A        82 A        59 A   
  40.00 keV   2.368E+02  2.043E+03     136 A        85 A        61 A   
  45.00 keV   2.511E+02  2.079E+03     148 A        92 A        66 A   
