 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-75-25.txt

 Ion = Manganese    [25] , Mass = 75 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.069E+01  9.904E+02      46 A        49 A        38 A   
  11.00 keV   7.414E+01  1.021E+03      49 A        52 A        40 A   
  12.00 keV   7.744E+01  1.049E+03      52 A        54 A        42 A   
  13.00 keV   8.060E+01  1.075E+03      54 A        57 A        44 A   
  14.00 keV   8.364E+01  1.099E+03      57 A        59 A        46 A   
  15.00 keV   8.658E+01  1.121E+03      60 A        62 A        48 A   
  16.00 keV   8.942E+01  1.142E+03      63 A        64 A        50 A   
  17.00 keV   9.217E+01  1.161E+03      65 A        67 A        52 A   
  18.00 keV   9.484E+01  1.180E+03      68 A        69 A        53 A   
  20.00 keV   9.997E+01  1.213E+03      73 A        73 A        57 A   
  22.50 keV   1.060E+02  1.250E+03      79 A        79 A        61 A   
  25.00 keV   1.118E+02  1.282E+03      86 A        84 A        66 A   
  27.50 keV   1.172E+02  1.310E+03      92 A        90 A        70 A   
  30.00 keV   1.224E+02  1.336E+03      98 A        95 A        74 A   
  32.50 keV   1.274E+02  1.358E+03     104 A       100 A        78 A   
  35.00 keV   1.322E+02  1.379E+03     110 A       105 A        82 A   
  37.50 keV   1.369E+02  1.398E+03     116 A       110 A        86 A   
  40.00 keV   1.414E+02  1.415E+03     122 A       115 A        90 A   
  45.00 keV   1.500E+02  1.444E+03     134 A       125 A        97 A   
