 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-71-31.txt

 Ion = Gallium      [31] , Mass = 71 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.684E+01  1.070E+03      41 A        46 A        35 A   
  11.00 keV   9.107E+01  1.105E+03      43 A        48 A        37 A   
  12.00 keV   9.512E+01  1.137E+03      46 A        50 A        39 A   
  13.00 keV   9.901E+01  1.167E+03      48 A        53 A        40 A   
  14.00 keV   1.027E+02  1.195E+03      51 A        55 A        42 A   
  15.00 keV   1.064E+02  1.221E+03      53 A        57 A        44 A   
  16.00 keV   1.098E+02  1.245E+03      55 A        59 A        46 A   
  17.00 keV   1.132E+02  1.268E+03      58 A        61 A        47 A   
  18.00 keV   1.165E+02  1.290E+03      60 A        64 A        49 A   
  20.00 keV   1.228E+02  1.329E+03      64 A        68 A        52 A   
  22.50 keV   1.303E+02  1.373E+03      70 A        73 A        56 A   
  25.00 keV   1.373E+02  1.412E+03      75 A        77 A        60 A   
  27.50 keV   1.440E+02  1.446E+03      81 A        82 A        64 A   
  30.00 keV   1.504E+02  1.477E+03      86 A        87 A        67 A   
  32.50 keV   1.565E+02  1.505E+03      91 A        91 A        71 A   
  35.00 keV   1.625E+02  1.531E+03      96 A        96 A        74 A   
  37.50 keV   1.682E+02  1.554E+03     101 A       100 A        78 A   
  40.00 keV   1.737E+02  1.576E+03     106 A       104 A        81 A   
  45.00 keV   1.842E+02  1.614E+03     116 A       113 A        88 A   
