 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-70-34.txt

 Ion = Selenium     [34] , Mass = 70 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.218E+02  1.449E+03      52 A        37 A        27 A   
  11.00 keV   1.277E+02  1.490E+03      56 A        39 A        28 A   
  12.00 keV   1.334E+02  1.528E+03      59 A        41 A        30 A   
  13.00 keV   1.388E+02  1.562E+03      62 A        43 A        31 A   
  14.00 keV   1.441E+02  1.593E+03      65 A        45 A        33 A   
  15.00 keV   1.491E+02  1.623E+03      68 A        47 A        34 A   
  16.00 keV   1.540E+02  1.650E+03      71 A        49 A        35 A   
  17.00 keV   1.588E+02  1.675E+03      74 A        51 A        36 A   
  18.00 keV   1.634E+02  1.698E+03      77 A        52 A        38 A   
  20.00 keV   1.722E+02  1.741E+03      83 A        56 A        40 A   
  22.50 keV   1.826E+02  1.787E+03      90 A        60 A        43 A   
  25.00 keV   1.925E+02  1.827E+03      97 A        64 A        46 A   
  27.50 keV   2.019E+02  1.862E+03     104 A        68 A        49 A   
  30.00 keV   2.109E+02  1.893E+03     111 A        72 A        52 A   
  32.50 keV   2.195E+02  1.921E+03     118 A        76 A        55 A   
  35.00 keV   2.278E+02  1.945E+03     125 A        80 A        57 A   
  37.50 keV   2.358E+02  1.967E+03     131 A        83 A        60 A   
  40.00 keV   2.435E+02  1.987E+03     138 A        87 A        63 A   
  45.00 keV   2.583E+02  2.020E+03     151 A        94 A        68 A   
