 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-31.txt

 Ion = Gallium      [31] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.564E+01  1.090E+03      41 A        45 A        35 A   
  11.00 keV   8.982E+01  1.126E+03      43 A        47 A        36 A   
  12.00 keV   9.381E+01  1.159E+03      46 A        50 A        38 A   
  13.00 keV   9.764E+01  1.190E+03      48 A        52 A        40 A   
  14.00 keV   1.013E+02  1.218E+03      51 A        54 A        42 A   
  15.00 keV   1.049E+02  1.245E+03      53 A        56 A        44 A   
  16.00 keV   1.083E+02  1.270E+03      55 A        59 A        45 A   
  17.00 keV   1.117E+02  1.293E+03      58 A        61 A        47 A   
  18.00 keV   1.149E+02  1.315E+03      60 A        63 A        48 A   
  20.00 keV   1.211E+02  1.355E+03      64 A        67 A        52 A   
  22.50 keV   1.285E+02  1.400E+03      70 A        72 A        56 A   
  25.00 keV   1.354E+02  1.440E+03      75 A        76 A        59 A   
  27.50 keV   1.420E+02  1.475E+03      81 A        81 A        63 A   
  30.00 keV   1.483E+02  1.507E+03      86 A        86 A        66 A   
  32.50 keV   1.544E+02  1.536E+03      91 A        90 A        70 A   
  35.00 keV   1.602E+02  1.562E+03      96 A        95 A        73 A   
  37.50 keV   1.658E+02  1.586E+03     101 A        99 A        77 A   
  40.00 keV   1.713E+02  1.608E+03     106 A       103 A        80 A   
  45.00 keV   1.817E+02  1.647E+03     116 A       111 A        87 A   
