 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-61-29.txt

 Ion = Copper       [29] , Mass = 61 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.439E+01  1.241E+03      57 A        42 A        31 A   
  11.00 keV   8.851E+01  1.273E+03      60 A        44 A        33 A   
  12.00 keV   9.245E+01  1.303E+03      64 A        47 A        34 A   
  13.00 keV   9.622E+01  1.330E+03      68 A        49 A        36 A   
  14.00 keV   9.986E+01  1.354E+03      71 A        52 A        38 A   
  15.00 keV   1.034E+02  1.377E+03      75 A        54 A        39 A   
  16.00 keV   1.068E+02  1.397E+03      78 A        56 A        41 A   
  17.00 keV   1.100E+02  1.417E+03      82 A        59 A        42 A   
  18.00 keV   1.132E+02  1.434E+03      85 A        61 A        44 A   
  20.00 keV   1.194E+02  1.466E+03      92 A        65 A        47 A   
  22.50 keV   1.266E+02  1.501E+03     100 A        70 A        50 A   
  25.00 keV   1.334E+02  1.530E+03     108 A        75 A        54 A   
  27.50 keV   1.400E+02  1.556E+03     116 A        80 A        57 A   
  30.00 keV   1.462E+02  1.578E+03     124 A        85 A        61 A   
  32.50 keV   1.521E+02  1.597E+03     132 A        89 A        64 A   
  35.00 keV   1.579E+02  1.614E+03     140 A        94 A        67 A   
  37.50 keV   1.634E+02  1.629E+03     148 A        99 A        71 A   
  40.00 keV   1.688E+02  1.642E+03     155 A       103 A        74 A   
  45.00 keV   1.790E+02  1.664E+03     171 A       112 A        80 A   
