 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-34.txt

 Ion = Selenium     [34] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.441E+03  6.073E+02    1.27 um     4457 A      4208 A   
   9.00 MeV   8.326E+03  5.635E+02    1.37 um     4594 A      4399 A   
  10.00 MeV   9.159E+03  5.263E+02    1.46 um     4707 A      4562 A   
  11.00 MeV   9.935E+03  4.944E+02    1.55 um     4802 A      4703 A   
  12.00 MeV   1.065E+04  4.665E+02    1.63 um     4883 A      4828 A   
  13.00 MeV   1.132E+04  4.420E+02    1.71 um     4954 A      4939 A   
  14.00 MeV   1.192E+04  4.203E+02    1.79 um     5016 A      5040 A   
  15.00 MeV   1.249E+04  4.008E+02    1.86 um     5072 A      5131 A   
  16.00 MeV   1.300E+04  3.833E+02    1.93 um     5122 A      5215 A   
  17.00 MeV   1.348E+04  3.674E+02    2.00 um     5167 A      5292 A   
  18.00 MeV   1.392E+04  3.530E+02    2.06 um     5208 A      5364 A   
  20.00 MeV   1.471E+04  3.276E+02    2.19 um     5282 A      5494 A   
  22.50 MeV   1.556E+04  3.011E+02    2.34 um     5362 A      5636 A   
  25.00 MeV   1.630E+04  2.790E+02    2.49 um     5430 A      5761 A   
  27.50 MeV   1.696E+04  2.602E+02    2.63 um     5490 A      5873 A   
  30.00 MeV   1.756E+04  2.440E+02    2.77 um     5542 A      5975 A   
  32.50 MeV   1.812E+04  2.299E+02    2.90 um     5590 A      6068 A   
  35.00 MeV   1.864E+04  2.175E+02    3.03 um     5632 A      6153 A   
