 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-62-30.txt

 Ion = Zinc         [30] , Mass = 62 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.258E+03  3.067E+02    1.64 um     2913 A      3151 A   
   9.00 MeV   7.903E+03  2.822E+02    1.76 um     2979 A      3270 A   
  10.00 MeV   8.492E+03  2.617E+02    1.88 um     3034 A      3372 A   
  11.00 MeV   9.029E+03  2.442E+02    1.98 um     3081 A      3461 A   
  12.00 MeV   9.520E+03  2.292E+02    2.09 um     3121 A      3539 A   
  13.00 MeV   9.969E+03  2.161E+02    2.18 um     3156 A      3610 A   
  14.00 MeV   1.038E+04  2.045E+02    2.28 um     3188 A      3673 A   
  15.00 MeV   1.076E+04  1.943E+02    2.37 um     3216 A      3731 A   
  16.00 MeV   1.112E+04  1.851E+02    2.46 um     3242 A      3785 A   
  17.00 MeV   1.144E+04  1.769E+02    2.54 um     3265 A      3834 A   
  18.00 MeV   1.175E+04  1.694E+02    2.63 um     3287 A      3880 A   
  20.00 MeV   1.230E+04  1.564E+02    2.79 um     3329 A      3963 A   
  22.50 MeV   1.290E+04  1.429E+02    2.98 um     3376 A      4054 A   
  25.00 MeV   1.342E+04  1.317E+02    3.16 um     3418 A      4134 A   
  27.50 MeV   1.388E+04  1.223E+02    3.34 um     3455 A      4205 A   
  30.00 MeV   1.429E+04  1.143E+02    3.52 um     3488 A      4270 A   
  32.50 MeV   1.465E+04  1.073E+02    3.69 um     3518 A      4329 A   
  35.00 MeV   1.497E+04  1.012E+02    3.85 um     3546 A      4384 A   
  37.50 MeV   1.527E+04  9.583E+01    4.02 um     3572 A      4434 A   
  40.00 MeV   1.553E+04  9.104E+01    4.18 um     3596 A      4482 A   
  45.00 MeV   1.599E+04  8.287E+01    4.49 um     3653 A      4569 A   
  50.00 MeV   1.636E+04  7.615E+01    4.80 um     3706 A      4647 A   
  55.00 MeV   1.667E+04  7.051E+01    5.10 um     3754 A      4719 A   
  60.00 MeV   1.692E+04  6.572E+01    5.39 um     3799 A      4785 A   
  65.00 MeV   1.713E+04  6.158E+01    5.68 um     3842 A      4847 A   
  70.00 MeV   1.730E+04  5.796E+01    5.97 um     3882 A      4905 A   
  80.00 MeV   1.754E+04  5.196E+01    6.54 um     3999 A      5013 A   
  90.00 MeV   1.768E+04  4.716E+01    7.11 um     4109 A      5112 A   
 100.00 MeV   1.774E+04  4.323E+01    7.67 um     4213 A      5205 A   
 110.00 MeV   1.775E+04  3.994E+01    8.23 um     4313 A      5292 A   
 120.00 MeV   1.772E+04  3.715E+01    8.79 um     4410 A      5376 A   
 130.00 MeV   1.780E+04  3.475E+01    9.35 um     4504 A      5456 A   
 140.00 MeV   1.788E+04  3.266E+01    9.91 um     4595 A      5533 A   
 150.00 MeV   1.786E+04  3.082E+01   10.47 um     4684 A      5608 A   
 160.00 MeV   1.784E+04  2.920E+01   11.03 um     4770 A      5680 A   
 170.00 MeV   1.779E+04  2.774E+01   11.59 um     4855 A      5751 A   
 180.00 MeV   1.773E+04  2.644E+01   12.15 um     4939 A      5820 A   
 200.00 MeV   1.758E+04  2.418E+01   13.28 um     5226 A      5955 A   
 225.00 MeV   1.734E+04  2.188E+01   14.70 um     5644 A      6118 A   
 250.00 MeV   1.707E+04  2.001E+01   16.16 um     6043 A      6278 A   
 275.00 MeV   1.679E+04  1.845E+01   17.63 um     6429 A      6436 A   
 300.00 MeV   1.650E+04  1.712E+01   19.13 um     6805 A      6592 A   
 325.00 MeV   1.621E+04  1.599E+01   20.66 um     7173 A      6748 A   
 350.00 MeV   1.592E+04  1.500E+01   22.21 um     7535 A      6904 A   
 375.00 MeV   1.565E+04  1.414E+01   23.79 um     7892 A      7060 A   
 400.00 MeV   1.538E+04  1.337E+01   25.40 um     8245 A      7217 A   
 450.00 MeV   1.486E+04  1.208E+01   28.70 um     9535 A      7533 A   
 500.00 MeV   1.437E+04  1.103E+01   32.12 um     1.07 um     7855 A   
 550.00 MeV   1.392E+04  1.015E+01   35.65 um     1.19 um     8184 A   
 600.00 MeV   1.350E+04  9.415E+00   39.30 um     1.30 um     8519 A   
 650.00 MeV   1.310E+04  8.782E+00   43.05 um     1.41 um     8861 A   
 700.00 MeV   1.272E+04  8.233E+00   46.93 um     1.52 um     9212 A   
 800.00 MeV   1.203E+04  7.327E+00   55.00 um     1.91 um     9938 A   
 900.00 MeV   1.141E+04  6.609E+00   63.54 um     2.27 um     1.07 um  
   1.00 GeV   1.084E+04  6.026E+00   72.52 um     2.61 um     1.15 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  2.0092E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
