 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-31.txt

 Ion = Gallium      [31] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.506E+01  1.100E+03      41 A        45 A        34 A   
  11.00 keV   8.921E+01  1.137E+03      44 A        47 A        36 A   
  12.00 keV   9.318E+01  1.170E+03      46 A        50 A        38 A   
  13.00 keV   9.698E+01  1.201E+03      48 A        52 A        40 A   
  14.00 keV   1.006E+02  1.230E+03      51 A        54 A        42 A   
  15.00 keV   1.042E+02  1.257E+03      53 A        56 A        43 A   
  16.00 keV   1.076E+02  1.282E+03      56 A        58 A        45 A   
  17.00 keV   1.109E+02  1.305E+03      58 A        60 A        47 A   
  18.00 keV   1.141E+02  1.327E+03      60 A        62 A        48 A   
  20.00 keV   1.203E+02  1.368E+03      65 A        66 A        51 A   
  22.50 keV   1.276E+02  1.413E+03      70 A        71 A        55 A   
  25.00 keV   1.345E+02  1.453E+03      75 A        76 A        59 A   
  27.50 keV   1.411E+02  1.489E+03      81 A        81 A        63 A   
  30.00 keV   1.473E+02  1.521E+03      86 A        85 A        66 A   
  32.50 keV   1.533E+02  1.550E+03      91 A        90 A        70 A   
  35.00 keV   1.591E+02  1.577E+03      96 A        94 A        73 A   
  37.50 keV   1.647E+02  1.601E+03     101 A        98 A        76 A   
  40.00 keV   1.701E+02  1.623E+03     106 A       102 A        80 A   
  45.00 keV   1.804E+02  1.663E+03     116 A       111 A        86 A   
