 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-66-27.txt

 Ion = Cobalt       [27] , Mass = 66 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 66 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.023E+02  1.236E+03      59 A        42 A        30 A   
  11.00 keV   1.073E+02  1.268E+03      62 A        45 A        32 A   
  12.00 keV   1.120E+02  1.297E+03      66 A        47 A        34 A   
  13.00 keV   1.166E+02  1.323E+03      70 A        49 A        35 A   
  14.00 keV   1.210E+02  1.347E+03      74 A        51 A        37 A   
  15.00 keV   1.252E+02  1.369E+03      77 A        54 A        39 A   
  16.00 keV   1.294E+02  1.389E+03      81 A        56 A        40 A   
  17.00 keV   1.333E+02  1.408E+03      84 A        58 A        42 A   
  18.00 keV   1.372E+02  1.425E+03      88 A        60 A        43 A   
  20.00 keV   1.446E+02  1.456E+03      95 A        64 A        46 A   
  22.50 keV   1.534E+02  1.489E+03     104 A        69 A        50 A   
  25.00 keV   1.617E+02  1.517E+03     112 A        74 A        53 A   
  27.50 keV   1.696E+02  1.542E+03     120 A        79 A        57 A   
  30.00 keV   1.771E+02  1.563E+03     129 A        84 A        60 A   
  32.50 keV   1.844E+02  1.581E+03     137 A        88 A        63 A   
  35.00 keV   1.913E+02  1.597E+03     145 A        93 A        67 A   
  37.50 keV   1.980E+02  1.611E+03     153 A        97 A        70 A   
  40.00 keV   2.045E+02  1.624E+03     161 A       102 A        73 A   
  45.00 keV   2.169E+02  1.644E+03     177 A       111 A        79 A   
