 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-75-28.txt

 Ion = Nickel       [28] , Mass = 75 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.549E+01  1.338E+03      59 A        41 A        29 A   
  11.00 keV   6.869E+01  1.373E+03      63 A        43 A        31 A   
  12.00 keV   7.174E+01  1.406E+03      66 A        45 A        32 A   
  13.00 keV   7.467E+01  1.435E+03      70 A        47 A        34 A   
  14.00 keV   7.749E+01  1.462E+03      74 A        50 A        36 A   
  15.00 keV   8.021E+01  1.487E+03      77 A        52 A        37 A   
  16.00 keV   8.284E+01  1.510E+03      81 A        54 A        39 A   
  17.00 keV   8.539E+01  1.531E+03      84 A        56 A        40 A   
  18.00 keV   8.786E+01  1.551E+03      88 A        58 A        41 A   
  20.00 keV   9.262E+01  1.586E+03      95 A        62 A        44 A   
  22.50 keV   9.823E+01  1.624E+03     103 A        66 A        48 A   
  25.00 keV   1.035E+02  1.657E+03     112 A        71 A        51 A   
  27.50 keV   1.086E+02  1.686E+03     120 A        76 A        54 A   
  30.00 keV   1.134E+02  1.710E+03     128 A        80 A        57 A   
  32.50 keV   1.181E+02  1.732E+03     136 A        85 A        61 A   
  35.00 keV   1.225E+02  1.751E+03     144 A        89 A        64 A   
  37.50 keV   1.268E+02  1.768E+03     152 A        93 A        67 A   
  40.00 keV   1.310E+02  1.783E+03     160 A        97 A        70 A   
  45.00 keV   1.389E+02  1.808E+03     175 A       106 A        76 A   
