 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-61-28.txt

 Ion = Nickel       [28] , Mass = 61 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.066E+01  9.101E+02      43 A        52 A        39 A   
  11.00 keV   5.313E+01  9.389E+02      46 A        55 A        42 A   
  12.00 keV   5.549E+01  9.654E+02      49 A        57 A        44 A   
  13.00 keV   5.776E+01  9.898E+02      51 A        60 A        46 A   
  14.00 keV   5.994E+01  1.012E+03      54 A        63 A        48 A   
  15.00 keV   6.204E+01  1.033E+03      56 A        65 A        50 A   
  16.00 keV   6.408E+01  1.053E+03      59 A        68 A        52 A   
  17.00 keV   6.605E+01  1.071E+03      61 A        71 A        54 A   
  18.00 keV   6.796E+01  1.089E+03      64 A        73 A        56 A   
  20.00 keV   7.164E+01  1.120E+03      69 A        78 A        60 A   
  22.50 keV   7.599E+01  1.155E+03      75 A        84 A        64 A   
  25.00 keV   8.010E+01  1.186E+03      81 A        89 A        69 A   
  27.50 keV   8.401E+01  1.213E+03      86 A        95 A        73 A   
  30.00 keV   8.774E+01  1.238E+03      92 A       101 A        78 A   
  32.50 keV   9.132E+01  1.260E+03      98 A       106 A        82 A   
  35.00 keV   9.477E+01  1.280E+03     104 A       111 A        86 A   
  37.50 keV   9.810E+01  1.298E+03     109 A       117 A        90 A   
  40.00 keV   1.013E+02  1.314E+03     115 A       122 A        94 A   
  45.00 keV   1.075E+02  1.343E+03     126 A       132 A       102 A   
