 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-61-26.txt

 Ion = Iron         [26] , Mass = 61 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.406E+01  8.743E+02      44 A        52 A        40 A   
  11.00 keV   8.816E+01  9.014E+02      47 A        55 A        42 A   
  12.00 keV   9.208E+01  9.262E+02      50 A        58 A        44 A   
  13.00 keV   9.584E+01  9.491E+02      53 A        61 A        46 A   
  14.00 keV   9.946E+01  9.702E+02      55 A        63 A        48 A   
  15.00 keV   1.030E+02  9.898E+02      58 A        66 A        50 A   
  16.00 keV   1.063E+02  1.008E+03      61 A        69 A        52 A   
  17.00 keV   1.096E+02  1.025E+03      63 A        71 A        54 A   
  18.00 keV   1.128E+02  1.041E+03      66 A        74 A        56 A   
  20.00 keV   1.189E+02  1.071E+03      71 A        78 A        60 A   
  22.50 keV   1.261E+02  1.103E+03      77 A        84 A        65 A   
  25.00 keV   1.329E+02  1.131E+03      83 A        90 A        69 A   
  27.50 keV   1.394E+02  1.156E+03      89 A        96 A        74 A   
  30.00 keV   1.456E+02  1.179E+03      95 A       102 A        78 A   
  32.50 keV   1.515E+02  1.199E+03     101 A       107 A        83 A   
  35.00 keV   1.573E+02  1.217E+03     107 A       112 A        87 A   
  37.50 keV   1.628E+02  1.233E+03     113 A       118 A        91 A   
  40.00 keV   1.681E+02  1.248E+03     119 A       123 A        95 A   
  45.00 keV   1.783E+02  1.275E+03     130 A       133 A       103 A   
