 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-62-27.txt

 Ion = Cobalt       [27] , Mass = 62 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.360E+01  9.030E+02      44 A        51 A        39 A   
  11.00 keV   7.720E+01  9.314E+02      46 A        54 A        41 A   
  12.00 keV   8.063E+01  9.574E+02      49 A        57 A        44 A   
  13.00 keV   8.392E+01  9.813E+02      52 A        60 A        46 A   
  14.00 keV   8.709E+01  1.003E+03      54 A        62 A        48 A   
  15.00 keV   9.014E+01  1.024E+03      57 A        65 A        50 A   
  16.00 keV   9.310E+01  1.043E+03      60 A        67 A        52 A   
  17.00 keV   9.597E+01  1.061E+03      62 A        70 A        54 A   
  18.00 keV   9.875E+01  1.078E+03      65 A        72 A        56 A   
  20.00 keV   1.041E+02  1.109E+03      70 A        77 A        59 A   
  22.50 keV   1.104E+02  1.143E+03      76 A        83 A        64 A   
  25.00 keV   1.164E+02  1.173E+03      82 A        89 A        68 A   
  27.50 keV   1.221E+02  1.200E+03      88 A        94 A        73 A   
  30.00 keV   1.275E+02  1.223E+03      93 A       100 A        77 A   
  32.50 keV   1.327E+02  1.245E+03      99 A       105 A        81 A   
  35.00 keV   1.377E+02  1.264E+03     105 A       110 A        85 A   
  37.50 keV   1.425E+02  1.282E+03     111 A       116 A        89 A   
  40.00 keV   1.472E+02  1.298E+03     116 A       121 A        93 A   
  45.00 keV   1.561E+02  1.326E+03     127 A       131 A       101 A   
