 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-64-26.txt

 Ion = Iron         [26] , Mass = 64 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 64 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.352E+03  2.481E+02    1.99 um     3482 A      3824 A   
   9.00 MeV   6.997E+03  2.280E+02    2.13 um     3552 A      3954 A   
  10.00 MeV   7.597E+03  2.112E+02    2.26 um     3608 A      4064 A   
  11.00 MeV   8.151E+03  1.969E+02    2.38 um     3656 A      4159 A   
  12.00 MeV   8.662E+03  1.846E+02    2.49 um     3696 A      4241 A   
  13.00 MeV   9.133E+03  1.740E+02    2.60 um     3731 A      4314 A   
  14.00 MeV   9.566E+03  1.646E+02    2.70 um     3761 A      4379 A   
  15.00 MeV   9.966E+03  1.562E+02    2.80 um     3788 A      4438 A   
  16.00 MeV   1.033E+04  1.488E+02    2.90 um     3812 A      4492 A   
  17.00 MeV   1.067E+04  1.421E+02    2.99 um     3834 A      4541 A   
  18.00 MeV   1.099E+04  1.360E+02    3.08 um     3854 A      4586 A   
  20.00 MeV   1.155E+04  1.254E+02    3.25 um     3894 A      4667 A   
  22.50 MeV   1.214E+04  1.145E+02    3.46 um     3938 A      4755 A   
  25.00 MeV   1.264E+04  1.055E+02    3.65 um     3976 A      4832 A   
  27.50 MeV   1.307E+04  9.788E+01    3.85 um     4009 A      4900 A   
  30.00 MeV   1.342E+04  9.139E+01    4.03 um     4040 A      4961 A   
  32.50 MeV   1.373E+04  8.578E+01    4.21 um     4067 A      5017 A   
  35.00 MeV   1.400E+04  8.087E+01    4.39 um     4093 A      5068 A   
  37.50 MeV   1.422E+04  7.654E+01    4.57 um     4117 A      5116 A   
  40.00 MeV   1.442E+04  7.269E+01    4.74 um     4139 A      5160 A   
  45.00 MeV   1.474E+04  6.612E+01    5.08 um     4194 A      5242 A   
  50.00 MeV   1.498E+04  6.072E+01    5.41 um     4245 A      5316 A   
  55.00 MeV   1.516E+04  5.620E+01    5.74 um     4292 A      5384 A   
  60.00 MeV   1.528E+04  5.235E+01    6.07 um     4337 A      5447 A   
  65.00 MeV   1.537E+04  4.904E+01    6.39 um     4380 A      5506 A   
  70.00 MeV   1.543E+04  4.614E+01    6.71 um     4421 A      5562 A   
  80.00 MeV   1.548E+04  4.134E+01    7.35 um     4546 A      5667 A   
  90.00 MeV   1.545E+04  3.750E+01    8.00 um     4666 A      5765 A   
 100.00 MeV   1.538E+04  3.435E+01    8.64 um     4781 A      5857 A   
 110.00 MeV   1.528E+04  3.173E+01    9.29 um     4895 A      5946 A   
 120.00 MeV   1.515E+04  2.950E+01    9.95 um     5006 A      6031 A   
 130.00 MeV   1.505E+04  2.759E+01   10.61 um     5116 A      6114 A   
 140.00 MeV   1.508E+04  2.592E+01   11.27 um     5224 A      6194 A   
 150.00 MeV   1.502E+04  2.446E+01   11.93 um     5330 A      6273 A   
 160.00 MeV   1.492E+04  2.316E+01   12.60 um     5434 A      6350 A   
 170.00 MeV   1.483E+04  2.200E+01   13.27 um     5537 A      6426 A   
 180.00 MeV   1.474E+04  2.096E+01   13.94 um     5639 A      6501 A   
 200.00 MeV   1.452E+04  1.917E+01   15.31 um     5998 A      6649 A   
 225.00 MeV   1.424E+04  1.734E+01   17.04 um     6524 A      6830 A   
 250.00 MeV   1.395E+04  1.585E+01   18.81 um     7030 A      7011 A   
 275.00 MeV   1.367E+04  1.461E+01   20.62 um     7520 A      7191 A   
 300.00 MeV   1.339E+04  1.356E+01   22.46 um     7999 A      7371 A   
 325.00 MeV   1.311E+04  1.265E+01   24.35 um     8469 A      7553 A   
 350.00 MeV   1.285E+04  1.187E+01   26.27 um     8932 A      7736 A   
 375.00 MeV   1.260E+04  1.119E+01   28.23 um     9390 A      7921 A   
 400.00 MeV   1.236E+04  1.058E+01   30.23 um     9843 A      8108 A   
 450.00 MeV   1.190E+04  9.553E+00   34.35 um     1.15 um     8490 A   
 500.00 MeV   1.148E+04  8.719E+00   38.62 um     1.31 um     8881 A   
 550.00 MeV   1.109E+04  8.025E+00   43.05 um     1.45 um     9284 A   
 600.00 MeV   1.073E+04  7.439E+00   47.63 um     1.60 um     9698 A   
 650.00 MeV   1.040E+04  6.938E+00   52.36 um     1.74 um     1.01 um  
 700.00 MeV   1.008E+04  6.503E+00   57.24 um     1.88 um     1.06 um  
 800.00 MeV   9.506E+03  5.785E+00   67.45 um     2.38 um     1.15 um  
 900.00 MeV   8.991E+03  5.217E+00   78.26 um     2.84 um     1.24 um  
   1.00 GeV   8.528E+03  4.756E+00   89.67 um     3.27 um     1.34 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  2.2280E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
