 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-70-28.txt

 Ion = Nickel       [28] , Mass = 70 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.779E+01  1.298E+03      58 A        42 A        30 A   
  11.00 keV   7.110E+01  1.332E+03      62 A        44 A        32 A   
  12.00 keV   7.426E+01  1.363E+03      66 A        46 A        33 A   
  13.00 keV   7.729E+01  1.391E+03      70 A        49 A        35 A   
  14.00 keV   8.021E+01  1.417E+03      73 A        51 A        36 A   
  15.00 keV   8.302E+01  1.441E+03      77 A        53 A        38 A   
  16.00 keV   8.575E+01  1.462E+03      81 A        55 A        39 A   
  17.00 keV   8.839E+01  1.483E+03      84 A        57 A        41 A   
  18.00 keV   9.095E+01  1.502E+03      88 A        59 A        42 A   
  20.00 keV   9.587E+01  1.535E+03      94 A        63 A        45 A   
  22.50 keV   1.017E+02  1.572E+03     103 A        68 A        49 A   
  25.00 keV   1.072E+02  1.603E+03     111 A        73 A        52 A   
  27.50 keV   1.124E+02  1.630E+03     120 A        78 A        56 A   
  30.00 keV   1.174E+02  1.653E+03     128 A        82 A        59 A   
  32.50 keV   1.222E+02  1.674E+03     136 A        87 A        62 A   
  35.00 keV   1.268E+02  1.692E+03     144 A        91 A        65 A   
  37.50 keV   1.313E+02  1.708E+03     152 A        96 A        69 A   
  40.00 keV   1.356E+02  1.722E+03     160 A       100 A        72 A   
  45.00 keV   1.438E+02  1.745E+03     176 A       109 A        78 A   
