 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-71-26.txt

 Ion = Iron         [26] , Mass = 71 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.117E+02  1.250E+03      60 A        42 A        30 A   
  11.00 keV   1.171E+02  1.282E+03      64 A        44 A        32 A   
  12.00 keV   1.224E+02  1.311E+03      68 A        46 A        33 A   
  13.00 keV   1.273E+02  1.338E+03      71 A        48 A        35 A   
  14.00 keV   1.322E+02  1.362E+03      75 A        51 A        36 A   
  15.00 keV   1.368E+02  1.384E+03      79 A        53 A        38 A   
  16.00 keV   1.413E+02  1.404E+03      83 A        55 A        39 A   
  17.00 keV   1.456E+02  1.423E+03      86 A        57 A        41 A   
  18.00 keV   1.499E+02  1.440E+03      90 A        59 A        42 A   
  20.00 keV   1.580E+02  1.471E+03      97 A        63 A        45 A   
  22.50 keV   1.675E+02  1.505E+03     106 A        68 A        49 A   
  25.00 keV   1.766E+02  1.533E+03     114 A        73 A        52 A   
  27.50 keV   1.852E+02  1.558E+03     123 A        77 A        56 A   
  30.00 keV   1.935E+02  1.579E+03     131 A        82 A        59 A   
  32.50 keV   2.014E+02  1.597E+03     139 A        86 A        62 A   
  35.00 keV   2.090E+02  1.613E+03     147 A        91 A        65 A   
  37.50 keV   2.163E+02  1.627E+03     156 A        95 A        69 A   
  40.00 keV   2.234E+02  1.639E+03     164 A       100 A        72 A   
  45.00 keV   2.369E+02  1.660E+03     180 A       108 A        78 A   
