 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-62-32.txt

 Ion = Germanium    [32] , Mass = 62 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.318E+03  3.416E+02    1.78 um     3592 A      3819 A   
   9.00 MeV   8.090E+03  3.144E+02    1.90 um     3660 A      3944 A   
  10.00 MeV   8.798E+03  2.917E+02    2.01 um     3715 A      4050 A   
  11.00 MeV   9.446E+03  2.724E+02    2.11 um     3761 A      4140 A   
  12.00 MeV   1.004E+04  2.558E+02    2.20 um     3801 A      4219 A   
  13.00 MeV   1.059E+04  2.412E+02    2.29 um     3834 A      4288 A   
  14.00 MeV   1.109E+04  2.284E+02    2.38 um     3864 A      4350 A   
  15.00 MeV   1.155E+04  2.171E+02    2.47 um     3890 A      4407 A   
  16.00 MeV   1.198E+04  2.069E+02    2.55 um     3914 A      4458 A   
  17.00 MeV   1.238E+04  1.977E+02    2.63 um     3935 A      4504 A   
  18.00 MeV   1.275E+04  1.894E+02    2.70 um     3954 A      4547 A   
  20.00 MeV   1.342E+04  1.749E+02    2.85 um     3991 A      4625 A   
  22.50 MeV   1.414E+04  1.599E+02    3.03 um     4032 A      4708 A   
  25.00 MeV   1.477E+04  1.474E+02    3.20 um     4067 A      4781 A   
  27.50 MeV   1.531E+04  1.369E+02    3.36 um     4097 A      4845 A   
  30.00 MeV   1.579E+04  1.280E+02    3.52 um     4125 A      4902 A   
  32.50 MeV   1.621E+04  1.202E+02    3.67 um     4149 A      4954 A   
  35.00 MeV   1.659E+04  1.134E+02    3.82 um     4172 A      5002 A   
  37.50 MeV   1.692E+04  1.074E+02    3.97 um     4193 A      5046 A   
  40.00 MeV   1.722E+04  1.021E+02    4.11 um     4212 A      5088 A   
  45.00 MeV   1.773E+04  9.294E+01    4.39 um     4256 A      5163 A   
  50.00 MeV   1.814E+04  8.543E+01    4.67 um     4297 A      5230 A   
  55.00 MeV   1.847E+04  7.913E+01    4.94 um     4334 A      5291 A   
  60.00 MeV   1.874E+04  7.376E+01    5.20 um     4368 A      5347 A   
  65.00 MeV   1.895E+04  6.913E+01    5.47 um     4401 A      5399 A   
  70.00 MeV   1.912E+04  6.508E+01    5.73 um     4432 A      5449 A   
  80.00 MeV   1.935E+04  5.836E+01    6.24 um     4520 A      5540 A   
  90.00 MeV   1.948E+04  5.298E+01    6.76 um     4603 A      5623 A   
 100.00 MeV   1.952E+04  4.857E+01    7.27 um     4682 A      5701 A   
 110.00 MeV   1.951E+04  4.489E+01    7.78 um     4759 A      5774 A   
 120.00 MeV   1.945E+04  4.176E+01    8.29 um     4835 A      5844 A   
 130.00 MeV   1.952E+04  3.907E+01    8.80 um     4908 A      5911 A   
 140.00 MeV   1.960E+04  3.673E+01    9.31 um     4979 A      5976 A   
 150.00 MeV   1.956E+04  3.467E+01    9.82 um     5049 A      6038 A   
 160.00 MeV   1.953E+04  3.284E+01   10.33 um     5117 A      6099 A   
 170.00 MeV   1.947E+04  3.121E+01   10.84 um     5185 A      6159 A   
 180.00 MeV   1.940E+04  2.974E+01   11.35 um     5252 A      6217 A   
 200.00 MeV   1.922E+04  2.721E+01   12.38 um     5482 A      6330 A   
 225.00 MeV   1.895E+04  2.463E+01   13.69 um     5821 A      6468 A   
 250.00 MeV   1.865E+04  2.252E+01   15.02 um     6149 A      6604 A   
 275.00 MeV   1.835E+04  2.077E+01   16.37 um     6471 A      6737 A   
 300.00 MeV   1.804E+04  1.928E+01   17.74 um     6786 A      6870 A   
 325.00 MeV   1.773E+04  1.801E+01   19.13 um     7098 A      7002 A   
 350.00 MeV   1.743E+04  1.690E+01   20.55 um     7406 A      7135 A   
 375.00 MeV   1.714E+04  1.593E+01   22.00 um     7712 A      7268 A   
 400.00 MeV   1.686E+04  1.507E+01   23.47 um     8015 A      7402 A   
 450.00 MeV   1.632E+04  1.361E+01   26.48 um     9129 A      7673 A   
 500.00 MeV   1.581E+04  1.243E+01   29.59 um     1.02 um     7950 A   
 550.00 MeV   1.533E+04  1.144E+01   32.80 um     1.12 um     8232 A   
 600.00 MeV   1.489E+04  1.061E+01   36.10 um     1.22 um     8521 A   
 650.00 MeV   1.447E+04  9.899E+00   39.50 um     1.31 um     8817 A   
 700.00 MeV   1.407E+04  9.281E+00   43.01 um     1.41 um     9120 A   
 800.00 MeV   1.334E+04  8.261E+00   50.30 um     1.75 um     9748 A   
 900.00 MeV   1.268E+04  7.453E+00   57.98 um     2.07 um     1.04 um  
   1.00 GeV   1.207E+04  6.796E+00   66.06 um     2.37 um     1.11 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  1.9021E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
