 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-74-27.txt

 Ion = Cobalt       [27] , Mass = 74 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.658E+01  1.302E+03      59 A        41 A        29 A   
  11.00 keV   1.013E+02  1.336E+03      63 A        43 A        31 A   
  12.00 keV   1.058E+02  1.367E+03      67 A        45 A        33 A   
  13.00 keV   1.101E+02  1.395E+03      71 A        47 A        34 A   
  14.00 keV   1.143E+02  1.421E+03      74 A        50 A        36 A   
  15.00 keV   1.183E+02  1.445E+03      78 A        52 A        37 A   
  16.00 keV   1.222E+02  1.466E+03      82 A        54 A        39 A   
  17.00 keV   1.259E+02  1.486E+03      85 A        56 A        40 A   
  18.00 keV   1.296E+02  1.505E+03      89 A        58 A        42 A   
  20.00 keV   1.366E+02  1.539E+03      95 A        62 A        44 A   
  22.50 keV   1.449E+02  1.575E+03     104 A        66 A        48 A   
  25.00 keV   1.527E+02  1.606E+03     112 A        71 A        51 A   
  27.50 keV   1.602E+02  1.633E+03     121 A        76 A        54 A   
  30.00 keV   1.673E+02  1.656E+03     129 A        80 A        58 A   
  32.50 keV   1.741E+02  1.676E+03     137 A        84 A        61 A   
  35.00 keV   1.807E+02  1.694E+03     145 A        89 A        64 A   
  37.50 keV   1.870E+02  1.709E+03     153 A        93 A        67 A   
  40.00 keV   1.932E+02  1.723E+03     161 A        97 A        70 A   
  45.00 keV   2.049E+02  1.746E+03     177 A       106 A        76 A   
