 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-33.txt

 Ion = Arsenic      [33] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.293E+03  5.863E+02    1.30 um     4493 A      4259 A   
   9.00 MeV   8.151E+03  5.438E+02    1.40 um     4631 A      4452 A   
  10.00 MeV   8.960E+03  5.078E+02    1.50 um     4745 A      4617 A   
  11.00 MeV   9.715E+03  4.768E+02    1.59 um     4841 A      4760 A   
  12.00 MeV   1.042E+04  4.499E+02    1.67 um     4922 A      4887 A   
  13.00 MeV   1.106E+04  4.262E+02    1.75 um     4994 A      4999 A   
  14.00 MeV   1.166E+04  4.051E+02    1.83 um     5056 A      5101 A   
  15.00 MeV   1.221E+04  3.863E+02    1.90 um     5112 A      5193 A   
  16.00 MeV   1.272E+04  3.694E+02    1.98 um     5162 A      5278 A   
  17.00 MeV   1.318E+04  3.540E+02    2.05 um     5207 A      5356 A   
  18.00 MeV   1.362E+04  3.400E+02    2.11 um     5249 A      5429 A   
  20.00 MeV   1.439E+04  3.155E+02    2.25 um     5323 A      5560 A   
  22.50 MeV   1.523E+04  2.899E+02    2.40 um     5403 A      5704 A   
  25.00 MeV   1.596E+04  2.685E+02    2.55 um     5472 A      5830 A   
  27.50 MeV   1.660E+04  2.504E+02    2.70 um     5531 A      5943 A   
