 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-68-27.txt

 Ion = Cobalt       [27] , Mass = 68 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.346E+03  2.789E+02    2.02 um     3630 A      3950 A   
   9.00 MeV   7.028E+03  2.564E+02    2.16 um     3702 A      4086 A   
  10.00 MeV   7.654E+03  2.376E+02    2.28 um     3761 A      4200 A   
  11.00 MeV   8.227E+03  2.216E+02    2.40 um     3809 A      4297 A   
  12.00 MeV   8.749E+03  2.079E+02    2.51 um     3850 A      4382 A   
  13.00 MeV   9.224E+03  1.959E+02    2.62 um     3886 A      4457 A   
  14.00 MeV   9.657E+03  1.854E+02    2.72 um     3917 A      4524 A   
  15.00 MeV   1.005E+04  1.761E+02    2.82 um     3944 A      4584 A   
  16.00 MeV   1.041E+04  1.677E+02    2.91 um     3969 A      4639 A   
  17.00 MeV   1.075E+04  1.602E+02    3.00 um     3992 A      4689 A   
  18.00 MeV   1.105E+04  1.534E+02    3.09 um     4012 A      4736 A   
  20.00 MeV   1.159E+04  1.415E+02    3.26 um     4052 A      4819 A   
  22.50 MeV   1.216E+04  1.292E+02    3.47 um     4097 A      4909 A   
  25.00 MeV   1.265E+04  1.191E+02    3.66 um     4136 A      4988 A   
  27.50 MeV   1.306E+04  1.105E+02    3.85 um     4171 A      5058 A   
  30.00 MeV   1.342E+04  1.032E+02    4.04 um     4202 A      5121 A   
  32.50 MeV   1.373E+04  9.693E+01    4.22 um     4230 A      5179 A   
  35.00 MeV   1.401E+04  9.140E+01    4.40 um     4256 A      5231 A   
  37.50 MeV   1.425E+04  8.652E+01    4.57 um     4280 A      5281 A   
  40.00 MeV   1.447E+04  8.218E+01    4.74 um     4303 A      5326 A   
  45.00 MeV   1.485E+04  7.478E+01    5.08 um     4357 A      5410 A   
  50.00 MeV   1.515E+04  6.869E+01    5.41 um     4407 A      5486 A   
  55.00 MeV   1.540E+04  6.359E+01    5.73 um     4453 A      5555 A   
  60.00 MeV   1.560E+04  5.925E+01    6.05 um     4497 A      5618 A   
  65.00 MeV   1.576E+04  5.551E+01    6.37 um     4538 A      5678 A   
  70.00 MeV   1.589E+04  5.224E+01    6.69 um     4577 A      5734 A   
  80.00 MeV   1.607E+04  4.681E+01    7.31 um     4693 A      5838 A   
  90.00 MeV   1.616E+04  4.247E+01    7.92 um     4802 A      5934 A   
 100.00 MeV   1.620E+04  3.892E+01    8.54 um     4907 A      6023 A   
 110.00 MeV   1.619E+04  3.595E+01    9.15 um     5008 A      6108 A   
 120.00 MeV   1.614E+04  3.344E+01    9.77 um     5107 A      6189 A   
 130.00 MeV   1.606E+04  3.127E+01   10.39 um     5203 A      6267 A   
 140.00 MeV   1.604E+04  2.939E+01   11.01 um     5298 A      6342 A   
 150.00 MeV   1.609E+04  2.773E+01   11.63 um     5391 A      6416 A   
 160.00 MeV   1.606E+04  2.626E+01   12.25 um     5482 A      6487 A   
 170.00 MeV   1.600E+04  2.495E+01   12.87 um     5571 A      6557 A   
 180.00 MeV   1.593E+04  2.378E+01   13.50 um     5660 A      6625 A   
 200.00 MeV   1.576E+04  2.174E+01   14.76 um     5968 A      6759 A   
 225.00 MeV   1.551E+04  1.967E+01   16.35 um     6421 A      6922 A   
 250.00 MeV   1.523E+04  1.798E+01   17.98 um     6857 A      7083 A   
 275.00 MeV   1.495E+04  1.658E+01   19.63 um     7281 A      7242 A   
 300.00 MeV   1.465E+04  1.539E+01   21.32 um     7697 A      7401 A   
 325.00 MeV   1.436E+04  1.436E+01   23.04 um     8107 A      7560 A   
 350.00 MeV   1.408E+04  1.348E+01   24.79 um     8512 A      7720 A   
 375.00 MeV   1.380E+04  1.270E+01   26.58 um     8914 A      7882 A   
 400.00 MeV   1.354E+04  1.201E+01   28.41 um     9313 A      8045 A   
 450.00 MeV   1.303E+04  1.085E+01   32.17 um     1.08 um     8376 A   
 500.00 MeV   1.256E+04  9.902E+00   36.07 um     1.22 um     8716 A   
 550.00 MeV   1.213E+04  9.115E+00   40.12 um     1.35 um     9066 A   
 600.00 MeV   1.173E+04  8.451E+00   44.31 um     1.48 um     9427 A   
 650.00 MeV   1.135E+04  7.881E+00   48.64 um     1.61 um     9798 A   
 700.00 MeV   1.101E+04  7.388E+00   53.11 um     1.73 um     1.02 um  
 800.00 MeV   1.038E+04  6.574E+00   62.46 um     2.19 um     1.10 um  
 900.00 MeV   9.833E+03  5.929E+00   72.35 um     2.61 um     1.18 um  
   1.00 GeV   9.344E+03  5.405E+00   82.77 um     3.00 um     1.27 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                eV/Angstrom 
  1.0000E+00                keV/micron   
  1.0000E+00                MeV/mm       
  1.1669E-03                keV/(ug/cm2) 
  1.1669E-03                MeV/(mg/cm2) 
  1.1669E+00                keV/(mg/cm2) 
  1.8020E-01                 eV/(1E15 atoms/cm2)
  2.0819E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2006 by J.P. Biersack and J.F. Ziegler
