 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-68-27.txt

 Ion = Cobalt       [27] , Mass = 68 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   7.200E+03  3.928E+02    1.55 um     5271 A      5084 A   
   9.00 MeV   8.090E+03  3.633E+02    1.66 um     5390 A      5263 A   
  10.00 MeV   8.914E+03  3.384E+02    1.76 um     5487 A      5413 A   
  11.00 MeV   9.670E+03  3.171E+02    1.86 um     5567 A      5542 A   
  12.00 MeV   1.036E+04  2.986E+02    1.94 um     5635 A      5655 A   
  13.00 MeV   1.098E+04  2.824E+02    2.03 um     5693 A      5754 A   
  14.00 MeV   1.155E+04  2.681E+02    2.11 um     5744 A      5843 A   
  15.00 MeV   1.206E+04  2.553E+02    2.18 um     5789 A      5923 A   
  16.00 MeV   1.252E+04  2.438E+02    2.26 um     5830 A      5997 A   
  17.00 MeV   1.293E+04  2.334E+02    2.33 um     5866 A      6065 A   
  18.00 MeV   1.331E+04  2.240E+02    2.40 um     5899 A      6127 A   
  20.00 MeV   1.398E+04  2.074E+02    2.54 um     5960 A      6241 A   
  22.50 MeV   1.467E+04  1.902E+02    2.70 um     6025 A      6365 A   
  25.00 MeV   1.526E+04  1.759E+02    2.86 um     6080 A      6474 A   
  27.50 MeV   1.576E+04  1.638E+02    3.02 um     6129 A      6572 A   
