 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-70-32.txt

 Ion = Germanium    [32] , Mass = 70 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 70 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.051E+02  1.401E+03      54 A        39 A        28 A   
  11.00 keV   1.102E+02  1.440E+03      58 A        41 A        29 A   
  12.00 keV   1.151E+02  1.475E+03      61 A        43 A        31 A   
  13.00 keV   1.198E+02  1.507E+03      64 A        45 A        32 A   
  14.00 keV   1.243E+02  1.537E+03      68 A        47 A        34 A   
  15.00 keV   1.287E+02  1.564E+03      71 A        49 A        35 A   
  16.00 keV   1.329E+02  1.590E+03      74 A        51 A        36 A   
  17.00 keV   1.370E+02  1.613E+03      77 A        53 A        38 A   
  18.00 keV   1.409E+02  1.635E+03      80 A        54 A        39 A   
  20.00 keV   1.486E+02  1.675E+03      86 A        58 A        42 A   
  22.50 keV   1.576E+02  1.718E+03      94 A        62 A        45 A   
  25.00 keV   1.661E+02  1.755E+03     101 A        67 A        48 A   
  27.50 keV   1.742E+02  1.788E+03     109 A        71 A        51 A   
  30.00 keV   1.820E+02  1.816E+03     116 A        75 A        54 A   
  32.50 keV   1.894E+02  1.841E+03     123 A        79 A        57 A   
  35.00 keV   1.965E+02  1.864E+03     130 A        83 A        60 A   
  37.50 keV   2.034E+02  1.883E+03     137 A        87 A        62 A   
  40.00 keV   2.101E+02  1.901E+03     144 A        91 A        65 A   
  45.00 keV   2.229E+02  1.931E+03     158 A        98 A        71 A   
