 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-75-32.txt

 Ion = Germanium    [32] , Mass = 75 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.015E+02  1.443E+03      55 A        38 A        27 A   
  11.00 keV   1.064E+02  1.484E+03      58 A        40 A        29 A   
  12.00 keV   1.112E+02  1.521E+03      61 A        42 A        30 A   
  13.00 keV   1.157E+02  1.554E+03      65 A        44 A        32 A   
  14.00 keV   1.201E+02  1.585E+03      68 A        46 A        33 A   
  15.00 keV   1.243E+02  1.614E+03      71 A        48 A        34 A   
  16.00 keV   1.284E+02  1.640E+03      74 A        50 A        36 A   
  17.00 keV   1.323E+02  1.665E+03      78 A        51 A        37 A   
  18.00 keV   1.362E+02  1.688E+03      81 A        53 A        38 A   
  20.00 keV   1.435E+02  1.729E+03      87 A        57 A        41 A   
  22.50 keV   1.522E+02  1.775E+03      94 A        61 A        44 A   
  25.00 keV   1.605E+02  1.814E+03     102 A        65 A        47 A   
  27.50 keV   1.683E+02  1.848E+03     109 A        69 A        50 A   
  30.00 keV   1.758E+02  1.878E+03     116 A        73 A        53 A   
  32.50 keV   1.830E+02  1.904E+03     123 A        77 A        55 A   
  35.00 keV   1.899E+02  1.928E+03     130 A        81 A        58 A   
  37.50 keV   1.965E+02  1.949E+03     137 A        85 A        61 A   
  40.00 keV   2.030E+02  1.968E+03     144 A        88 A        63 A   
  45.00 keV   2.153E+02  2.000E+03     158 A        96 A        69 A   
