 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-60-31.txt

 Ion = Gallium      [31] , Mass = 60 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.446E+01  9.489E+02      40 A        49 A        37 A   
  11.00 keV   9.907E+01  9.800E+02      43 A        51 A        39 A   
  12.00 keV   1.035E+02  1.008E+03      45 A        54 A        41 A   
  13.00 keV   1.077E+02  1.035E+03      48 A        56 A        43 A   
  14.00 keV   1.118E+02  1.059E+03      50 A        59 A        45 A   
  15.00 keV   1.157E+02  1.082E+03      53 A        61 A        47 A   
  16.00 keV   1.195E+02  1.103E+03      55 A        64 A        49 A   
  17.00 keV   1.232E+02  1.123E+03      57 A        66 A        50 A   
  18.00 keV   1.267E+02  1.142E+03      60 A        68 A        52 A   
  20.00 keV   1.336E+02  1.176E+03      64 A        73 A        56 A   
  22.50 keV   1.417E+02  1.215E+03      70 A        78 A        60 A   
  25.00 keV   1.494E+02  1.248E+03      75 A        83 A        64 A   
  27.50 keV   1.566E+02  1.279E+03      80 A        88 A        68 A   
  30.00 keV   1.636E+02  1.306E+03      85 A        93 A        72 A   
  32.50 keV   1.703E+02  1.330E+03      91 A        98 A        75 A   
  35.00 keV   1.767E+02  1.352E+03      96 A       103 A        79 A   
  37.50 keV   1.829E+02  1.373E+03     101 A       108 A        83 A   
  40.00 keV   1.889E+02  1.391E+03     106 A       112 A        87 A   
  45.00 keV   2.004E+02  1.424E+03     116 A       121 A        94 A   
