 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-66-30.txt

 Ion = Zinc         [30] , Mass = 66 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 66 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.301E+02  1.314E+03      55 A        40 A        28 A   
  11.00 keV   1.365E+02  1.350E+03      59 A        42 A        30 A   
  12.00 keV   1.425E+02  1.382E+03      62 A        44 A        32 A   
  13.00 keV   1.484E+02  1.411E+03      66 A        46 A        33 A   
  14.00 keV   1.540E+02  1.438E+03      69 A        48 A        35 A   
  15.00 keV   1.594E+02  1.462E+03      72 A        50 A        36 A   
  16.00 keV   1.646E+02  1.485E+03      76 A        52 A        38 A   
  17.00 keV   1.697E+02  1.506E+03      79 A        54 A        39 A   
  18.00 keV   1.746E+02  1.526E+03      82 A        56 A        40 A   
  20.00 keV   1.840E+02  1.561E+03      88 A        60 A        43 A   
  22.50 keV   1.952E+02  1.599E+03      96 A        65 A        47 A   
  25.00 keV   2.057E+02  1.632E+03     104 A        69 A        50 A   
  27.50 keV   2.158E+02  1.660E+03     112 A        73 A        53 A   
  30.00 keV   2.254E+02  1.685E+03     119 A        78 A        56 A   
  32.50 keV   2.346E+02  1.707E+03     127 A        82 A        59 A   
  35.00 keV   2.434E+02  1.726E+03     134 A        86 A        62 A   
  37.50 keV   2.520E+02  1.743E+03     141 A        90 A        65 A   
  40.00 keV   2.602E+02  1.758E+03     148 A        94 A        68 A   
  45.00 keV   2.760E+02  1.783E+03     163 A       102 A        73 A   
