 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-63-28.txt

 Ion = Nickel       [28] , Mass = 63 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.985E+01  9.316E+02      43 A        51 A        39 A   
  11.00 keV   5.228E+01  9.612E+02      46 A        54 A        41 A   
  12.00 keV   5.460E+01  9.883E+02      49 A        57 A        43 A   
  13.00 keV   5.683E+01  1.013E+03      51 A        59 A        45 A   
  14.00 keV   5.898E+01  1.037E+03      54 A        62 A        47 A   
  15.00 keV   6.105E+01  1.058E+03      56 A        65 A        49 A   
  16.00 keV   6.305E+01  1.078E+03      59 A        67 A        51 A   
  17.00 keV   6.499E+01  1.097E+03      61 A        70 A        53 A   
  18.00 keV   6.688E+01  1.115E+03      64 A        72 A        55 A   
  20.00 keV   7.049E+01  1.147E+03      69 A        77 A        59 A   
  22.50 keV   7.477E+01  1.183E+03      75 A        83 A        64 A   
  25.00 keV   7.881E+01  1.215E+03      81 A        88 A        68 A   
  27.50 keV   8.266E+01  1.243E+03      86 A        94 A        72 A   
  30.00 keV   8.634E+01  1.268E+03      92 A        99 A        77 A   
  32.50 keV   8.986E+01  1.291E+03      98 A       104 A        81 A   
  35.00 keV   9.325E+01  1.311E+03     104 A       110 A        85 A   
  37.50 keV   9.653E+01  1.330E+03     109 A       115 A        89 A   
  40.00 keV   9.969E+01  1.347E+03     115 A       120 A        93 A   
  45.00 keV   1.057E+02  1.377E+03     126 A       130 A       101 A   
